question_id,Answer,Confidence,raw,error,tok_in,tok_out,min_age,sex,radius,bin_width,top_n
le_spd_0_male_2,77.0,0.12,"```json
[
  {""min"": 76, ""max"": 78, ""confidence"": 0.12},
  {""min"": 74, ""max"": 76, ""confidence"": 0.11},
  {""min"": 78, ""max"": 80, ""confidence"": 0.10},
  {""min"": 72, ""max"": 74, ""confidence"": 0.09},
  {""min"": 80, ""max"": 82, ""confidence"": 0.09},
  {""min"": 70, ""max"": 72, ""confidence"": 0.08},
  {""min"": 82, ""max"": 84, ""confidence"": 0.08},
  {""min"": 68, ""max"": 70, ""confidence"": 0.07},
  {""min"": 84, ""max"": 86, ""confidence"": 0.07},
  {""min"": 66, ""max"": 68, ""confidence"": 0.06}
]
```",,138,231,0,male,1,2,10
le_spd_0_male_10,75.0,0.25,"```json
[
  {""min"": 70, ""max"": 80, ""confidence"": 0.25},
  {""min"": 80, ""max"": 90, ""confidence"": 0.22},
  {""min"": 60, ""max"": 70, ""confidence"": 0.18},
  {""min"": 90, ""max"": 100, ""confidence"": 0.15},
  {""min"": 50, ""max"": 60, ""confidence"": 0.10},
  {""min"": 100, ""max"": 110, ""confidence"": 0.05},
  {""min"": 40, ""max"": 50, ""confidence"": 0.03},
  {""min"": 30, ""max"": 40, ""confidence"": 0.01},
  {""min"": 20, ""max"": 30, ""confidence"": 0.005},
  {""min"": 10, ""max"": 20, ""confidence"": 0.002}
]
```",,138,231,0,male,5,10,10
le_spd_0_male_20,85.0,0.25,"```json
[
  {""min"": 75, ""max"": 95, ""confidence"": 0.25},
  {""min"": 55, ""max"": 75, ""confidence"": 0.22},
  {""min"": 80, ""max"": 100, ""confidence"": 0.20},
  {""min"": 65, ""max"": 85, ""confidence"": 0.18},
  {""min"": 70, ""max"": 90, ""confidence"": 0.15}
]
```",,138,121,0,male,10,20,5
le_spd_0_male_40,90.0,0.35,"```json
[
  {""min"": 70, ""max"": 110, ""confidence"": 0.35},
  {""min"": 75, ""max"": 115, ""confidence"": 0.28},
  {""min"": 65, ""max"": 105, ""confidence"": 0.22}
]
```",,138,77,0,male,20,40,3
le_spd_1_male_2,79.0,0.12,"```json
[
  {""min"": 78, ""max"": 80, ""confidence"": 0.12},
  {""min"": 76, ""max"": 78, ""confidence"": 0.11},
  {""min"": 80, ""max"": 82, ""confidence"": 0.11},
  {""min"": 74, ""max"": 76, ""confidence"": 0.10},
  {""min"": 82, ""max"": 84, ""confidence"": 0.09},
  {""min"": 72, ""max"": 74, ""confidence"": 0.08},
  {""min"": 84, ""max"": 86, ""confidence"": 0.08},
  {""min"": 70, ""max"": 72, ""confidence"": 0.07},
  {""min"": 86, ""max"": 88, ""confidence"": 0.06},
  {""min"": 68, ""max"": 70, ""confidence"": 0.05}
]
```",,138,231,1,male,1,2,10
le_spd_1_male_10,75.0,0.25,"```json
[
  {""min"": 70, ""max"": 80, ""confidence"": 0.25},
  {""min"": 80, ""max"": 90, ""confidence"": 0.22},
  {""min"": 60, ""max"": 70, ""confidence"": 0.18},
  {""min"": 90, ""max"": 100, ""confidence"": 0.15},
  {""min"": 50, ""max"": 60, ""confidence"": 0.10},
  {""min"": 100, ""max"": 110, ""confidence"": 0.05},
  {""min"": 40, ""max"": 50, ""confidence"": 0.03},
  {""min"": 30, ""max"": 40, ""confidence"": 0.01},
  {""min"": 20, ""max"": 30, ""confidence"": 0.005},
  {""min"": 10, ""max"": 20, ""confidence"": 0.002}
]
```",,138,231,1,male,5,10,10
le_spd_1_male_20,80.0,0.35,"```json
[
  {""min"": 70, ""max"": 90, ""confidence"": 0.35},
  {""min"": 50, ""max"": 70, ""confidence"": 0.25},
  {""min"": 90, ""max"": 110, ""confidence"": 0.20},
  {""min"": 30, ""max"": 50, ""confidence"": 0.15},
  {""min"": 10, ""max"": 30, ""confidence"": 0.05}
]
```",,138,121,1,male,10,20,5
le_spd_1_male_40,90.0,0.45,"```json
[
  {""min"": 70, ""max"": 110, ""confidence"": 0.45},
  {""min"": 60, ""max"": 100, ""confidence"": 0.35},
  {""min"": 50, ""max"": 90, ""confidence"": 0.20}
]
```",,138,77,1,male,20,40,3
le_spd_2_male_2,79.0,0.085,"```json
[
  {""min"": 78, ""max"": 80, ""confidence"": 0.085},
  {""min"": 76, ""max"": 78, ""confidence"": 0.078},
  {""min"": 80, ""max"": 82, ""confidence"": 0.075},
  {""min"": 74, ""max"": 76, ""confidence"": 0.068},
  {""min"": 82, ""max"": 84, ""confidence"": 0.062},
  {""min"": 72, ""max"": 74, ""confidence"": 0.055},
  {""min"": 84, ""max"": 86, ""confidence"": 0.048},
  {""min"": 70, ""max"": 72, ""confidence"": 0.042},
  {""min"": 86, ""max"": 88, ""confidence"": 0.035},
  {""min"": 68, ""max"": 70, ""confidence"": 0.032}
]
```",,138,231,2,male,1,2,10
le_spd_2_male_10,75.0,0.25,"```json
[
  {""min"": 70, ""max"": 80, ""confidence"": 0.25},
  {""min"": 80, ""max"": 90, ""confidence"": 0.22},
  {""min"": 60, ""max"": 70, ""confidence"": 0.18},
  {""min"": 90, ""max"": 100, ""confidence"": 0.15},
  {""min"": 50, ""max"": 60, ""confidence"": 0.10},
  {""min"": 100, ""max"": 110, ""confidence"": 0.05},
  {""min"": 40, ""max"": 50, ""confidence"": 0.03},
  {""min"": 30, ""max"": 40, ""confidence"": 0.01},
  {""min"": 20, ""max"": 30, ""confidence"": 0.005},
  {""min"": 110, ""max"": 120, ""confidence"": 0.001}
]
```",,138,231,2,male,5,10,10
le_spd_2_male_20,80.0,0.35,"```json
[
  {""min"": 70, ""max"": 90, ""confidence"": 0.35},
  {""min"": 80, ""max"": 100, ""confidence"": 0.25},
  {""min"": 60, ""max"": 80, ""confidence"": 0.20},
  {""min"": 50, ""max"": 70, ""confidence"": 0.12},
  {""min"": 40, ""max"": 60, ""confidence"": 0.08}
]
```",,138,121,2,male,10,20,5
le_spd_2_male_40,90.0,0.45,"```json
[
  {""min"": 70, ""max"": 110, ""confidence"": 0.45},
  {""min"": 75, ""max"": 115, ""confidence"": 0.30},
  {""min"": 65, ""max"": 105, ""confidence"": 0.25}
]
```",,138,77,2,male,20,40,3
le_spd_3_male_2,79.0,0.12,"```json
[
  {""min"": 78, ""max"": 80, ""confidence"": 0.12},
  {""min"": 76, ""max"": 78, ""confidence"": 0.11},
  {""min"": 80, ""max"": 82, ""confidence"": 0.10},
  {""min"": 74, ""max"": 76, ""confidence"": 0.09},
  {""min"": 82, ""max"": 84, ""confidence"": 0.08},
  {""min"": 72, ""max"": 74, ""confidence"": 0.07},
  {""min"": 84, ""max"": 86, ""confidence"": 0.07},
  {""min"": 70, ""max"": 72, ""confidence"": 0.06},
  {""min"": 86, ""max"": 88, ""confidence"": 0.05},
  {""min"": 68, ""max"": 70, ""confidence"": 0.04}
]
```",,138,231,3,male,1,2,10
le_spd_3_male_10,75.0,0.25,"```json
[
  {""min"": 70, ""max"": 80, ""confidence"": 0.25},
  {""min"": 80, ""max"": 90, ""confidence"": 0.22},
  {""min"": 60, ""max"": 70, ""confidence"": 0.18},
  {""min"": 90, ""max"": 100, ""confidence"": 0.15},
  {""min"": 50, ""max"": 60, ""confidence"": 0.10},
  {""min"": 100, ""max"": 110, ""confidence"": 0.05},
  {""min"": 40, ""max"": 50, ""confidence"": 0.03},
  {""min"": 30, ""max"": 40, ""confidence"": 0.01},
  {""min"": 20, ""max"": 30, ""confidence"": 0.005},
  {""min"": 110, ""max"": 120, ""confidence"": 0.002}
]
```",,138,231,3,male,5,10,10
le_spd_3_male_20,80.0,0.35,"```json
[
  {""min"": 70, ""max"": 90, ""confidence"": 0.35},
  {""min"": 80, ""max"": 100, ""confidence"": 0.25},
  {""min"": 60, ""max"": 80, ""confidence"": 0.20},
  {""min"": 50, ""max"": 70, ""confidence"": 0.12},
  {""min"": 90, ""max"": 110, ""confidence"": 0.08}
]
```",,138,121,3,male,10,20,5
