question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight,bin_width,top_n
wgd_spd_1_02,171.0,0.14,"[{""min"": 170, ""max"": 172, ""confidence"": 0.14}, {""min"": 168, ""max"": 170, ""confidence"": 0.13}, {""min"": 172, ""max"": 174, ""confidence"": 0.12}, {""min"": 166, ""max"": 168, ""confidence"": 0.11}, {""min"": 174, ""max"": 176, ""confidence"": 0.1}, {""min"": 164, ""max"": 166, ""confidence"": 0.09}, {""min"": 176, ""max"": 178, ""confidence"": 0.08}, {""min"": 162, ""max"": 164, ""confidence"": 0.07}, {""min"": 178, ""max"": 180, ""confidence"": 0.06}, {""min"": 160, ""max"": 162, ""confidence"": 0.05}]",,1.jpg,1,237.0,2,10
wgd_spd_1_10,165.0,0.15,"[{""min"": 160, ""max"": 170, ""confidence"": 0.15}, {""min"": 170, ""max"": 180, ""confidence"": 0.14}, {""min"": 180, ""max"": 190, ""confidence"": 0.13}, {""min"": 190, ""max"": 200, ""confidence"": 0.12}, {""min"": 200, ""max"": 210, ""confidence"": 0.11}, {""min"": 150, ""max"": 160, ""confidence"": 0.1}, {""min"": 210, ""max"": 220, ""confidence"": 0.09}, {""min"": 140, ""max"": 150, ""confidence"": 0.08}, {""min"": 220, ""max"": 230, ""confidence"": 0.05}, {""min"": 230, ""max"": 240, ""confidence"": 0.03}]",,1.jpg,5,237.0,10,10
wgd_spd_1_20,190.0,0.3,"[{""min"": 160, ""max"": 180, ""confidence"": 0.25}, {""min"": 180, ""max"": 200, ""confidence"": 0.3}, {""min"": 140, ""max"": 160, ""confidence"": 0.2}, {""min"": 200, ""max"": 220, ""confidence"": 0.15}, {""min"": 120, ""max"": 140, ""confidence"": 0.1}]",,1.jpg,10,237.0,20,5
wgd_spd_1_40,200.0,0.4,"[{""min"": 180, ""max"": 220, ""confidence"": 0.4}, {""min"": 200, ""max"": 240, ""confidence"": 0.3}, {""min"": 160, ""max"": 200, ""confidence"": 0.3}]",,1.jpg,20,237.0,40,3
wgd_spd_2_02,161.0,0.15,"[{""min"": 160, ""max"": 162, ""confidence"": 0.15}, {""min"": 162, ""max"": 164, ""confidence"": 0.14}, {""min"": 158, ""max"": 160, ""confidence"": 0.13}, {""min"": 164, ""max"": 166, ""confidence"": 0.12}, {""min"": 156, ""max"": 158, ""confidence"": 0.11}, {""min"": 166, ""max"": 168, ""confidence"": 0.1}, {""min"": 154, ""max"": 156, ""confidence"": 0.08}, {""min"": 168, ""max"": 170, ""confidence"": 0.06}, {""min"": 152, ""max"": 154, ""confidence"": 0.05}, {""min"": 170, ""max"": 172, ""confidence"": 0.04}]",,2.jpg,1,215.0,2,10
wgd_spd_2_10,165.0,0.15,"[{""min"": 160, ""max"": 170, ""confidence"": 0.15}, {""min"": 170, ""max"": 180, ""confidence"": 0.14}, {""min"": 155, ""max"": 165, ""confidence"": 0.13}, {""min"": 165, ""max"": 175, ""confidence"": 0.12}, {""min"": 150, ""max"": 160, ""confidence"": 0.11}, {""min"": 175, ""max"": 185, ""confidence"": 0.1}, {""min"": 180, ""max"": 190, ""confidence"": 0.08}, {""min"": 145, ""max"": 155, ""confidence"": 0.07}, {""min"": 185, ""max"": 195, ""confidence"": 0.06}, {""min"": 140, ""max"": 150, ""confidence"": 0.04}]",,2.jpg,5,215.0,10,10
wgd_spd_2_20,160.0,0.35,"[{""min"": 150, ""max"": 170, ""confidence"": 0.35}, {""min"": 160, ""max"": 180, ""confidence"": 0.3}, {""min"": 170, ""max"": 190, ""confidence"": 0.2}, {""min"": 140, ""max"": 160, ""confidence"": 0.1}, {""min"": 180, ""max"": 200, ""confidence"": 0.05}]",,2.jpg,10,215.0,20,5
wgd_spd_2_40,180.0,0.6,"[{""min"": 160, ""max"": 200, ""confidence"": 0.6}, {""min"": 140, ""max"": 180, ""confidence"": 0.3}, {""min"": 180, ""max"": 220, ""confidence"": 0.1}]",,2.jpg,20,215.0,40,3
wgd_spd_3_02,151.0,0.11,"[{""min"": 150, ""max"": 152, ""confidence"": 0.11}, {""min"": 152, ""max"": 154, ""confidence"": 0.11}, {""min"": 154, ""max"": 156, ""confidence"": 0.1}, {""min"": 148, ""max"": 150, ""confidence"": 0.1}, {""min"": 156, ""max"": 158, ""confidence"": 0.09}, {""min"": 146, ""max"": 148, ""confidence"": 0.09}, {""min"": 158, ""max"": 160, ""confidence"": 0.08}, {""min"": 144, ""max"": 146, ""confidence"": 0.08}, {""min"": 160, ""max"": 162, ""confidence"": 0.07}, {""min"": 142, ""max"": 144, ""confidence"": 0.07}]",,3.jpg,1,218.0,2,10
wgd_spd_3_10,165.0,0.25,"[{""min"": 140, ""max"": 150, ""confidence"": 0.15}, {""min"": 150, ""max"": 160, ""confidence"": 0.2}, {""min"": 160, ""max"": 170, ""confidence"": 0.25}, {""min"": 170, ""max"": 180, ""confidence"": 0.2}, {""min"": 180, ""max"": 190, ""confidence"": 0.1}, {""min"": 130, ""max"": 140, ""confidence"": 0.05}, {""min"": 190, ""max"": 200, ""confidence"": 0.03}, {""min"": 120, ""max"": 130, ""confidence"": 0.01}, {""min"": 200, ""max"": 210, ""confidence"": 0.005}, {""min"": 210, ""max"": 220, ""confidence"": 0.005}]",,3.jpg,5,218.0,10,10
wgd_spd_3_20,150.0,0.25,"[{""min"": 140, ""max"": 160, ""confidence"": 0.25}, {""min"": 160, ""max"": 180, ""confidence"": 0.25}, {""min"": 150, ""max"": 170, ""confidence"": 0.2}, {""min"": 170, ""max"": 190, ""confidence"": 0.15}, {""min"": 130, ""max"": 150, ""confidence"": 0.15}]",,3.jpg,10,218.0,20,5
wgd_spd_3_40,160.0,0.6,"[{""min"": 140, ""max"": 180, ""confidence"": 0.6}, {""min"": 160, ""max"": 200, ""confidence"": 0.3}, {""min"": 180, ""max"": 220, ""confidence"": 0.1}]",,3.jpg,20,218.0,40,3
wgd_spd_4_02,111.0,0.15,"[{""min"": 110, ""max"": 112, ""confidence"": 0.15}, {""min"": 112, ""max"": 114, ""confidence"": 0.13}, {""min"": 108, ""max"": 110, ""confidence"": 0.12}, {""min"": 114, ""max"": 116, ""confidence"": 0.11}, {""min"": 106, ""max"": 108, ""confidence"": 0.1}, {""min"": 116, ""max"": 118, ""confidence"": 0.09}, {""min"": 104, ""max"": 106, ""confidence"": 0.08}, {""min"": 118, ""max"": 120, ""confidence"": 0.07}, {""min"": 102, ""max"": 104, ""confidence"": 0.06}, {""min"": 120, ""max"": 122, ""confidence"": 0.05}]",,4.jpg,1,95.0,2,10
wgd_spd_4_10,125.0,0.25,"[{""min"": 100, ""max"": 110, ""confidence"": 0.15}, {""min"": 110, ""max"": 120, ""confidence"": 0.2}, {""min"": 120, ""max"": 130, ""confidence"": 0.25}, {""min"": 90, ""max"": 100, ""confidence"": 0.12}, {""min"": 130, ""max"": 140, ""confidence"": 0.1}, {""min"": 80, ""max"": 90, ""confidence"": 0.05}, {""min"": 140, ""max"": 150, ""confidence"": 0.05}, {""min"": 70, ""max"": 80, ""confidence"": 0.03}, {""min"": 150, ""max"": 160, ""confidence"": 0.03}, {""min"": 160, ""max"": 170, ""confidence"": 0.02}]",,4.jpg,5,95.0,10,10
wgd_spd_4_20,120.0,0.3,"[{""min"": 100, ""max"": 120, ""confidence"": 0.25}, {""min"": 110, ""max"": 130, ""confidence"": 0.3}, {""min"": 120, ""max"": 140, ""confidence"": 0.2}, {""min"": 90, ""max"": 110, ""confidence"": 0.15}, {""min"": 130, ""max"": 150, ""confidence"": 0.1}]",,4.jpg,10,95.0,20,5
wgd_spd_4_40,120.0,0.5,"[{""min"": 100, ""max"": 140, ""confidence"": 0.5}, {""min"": 120, ""max"": 160, ""confidence"": 0.3}, {""min"": 80, ""max"": 120, ""confidence"": 0.2}]",,4.jpg,20,95.0,40,3
wgd_spd_5_02,141.0,0.13,"[{""min"": 140, ""max"": 142, ""confidence"": 0.13}, {""min"": 142, ""max"": 144, ""confidence"": 0.12}, {""min"": 144, ""max"": 146, ""confidence"": 0.11}, {""min"": 138, ""max"": 140, ""confidence"": 0.1}, {""min"": 146, ""max"": 148, ""confidence"": 0.1}, {""min"": 136, ""max"": 138, ""confidence"": 0.09}, {""min"": 148, ""max"": 150, ""confidence"": 0.08}, {""min"": 134, ""max"": 136, ""confidence"": 0.07}, {""min"": 150, ""max"": 152, ""confidence"": 0.07}, {""min"": 132, ""max"": 134, ""confidence"": 0.06}]",,5.jpg,1,142.0,2,10
wgd_spd_5_10,145.0,0.25,"[{""min"": 120, ""max"": 130, ""confidence"": 0.15}, {""min"": 130, ""max"": 140, ""confidence"": 0.2}, {""min"": 140, ""max"": 150, ""confidence"": 0.25}, {""min"": 150, ""max"": 160, ""confidence"": 0.2}, {""min"": 160, ""max"": 170, ""confidence"": 0.1}, {""min"": 110, ""max"": 120, ""confidence"": 0.05}, {""min"": 170, ""max"": 180, ""confidence"": 0.03}, {""min"": 180, ""max"": 190, ""confidence"": 0.01}, {""min"": 100, ""max"": 110, ""confidence"": 0.005}, {""min"": 190, ""max"": 200, ""confidence"": 0.005}]",,5.jpg,5,142.0,10,10
wgd_spd_5_20,150.0,0.35,"[{""min"": 120, ""max"": 140, ""confidence"": 0.25}, {""min"": 140, ""max"": 160, ""confidence"": 0.35}, {""min"": 160, ""max"": 180, ""confidence"": 0.2}, {""min"": 100, ""max"": 120, ""confidence"": 0.1}, {""min"": 180, ""max"": 200, ""confidence"": 0.1}]",,5.jpg,10,142.0,20,5
wgd_spd_5_40,160.0,0.5,"[{""min"": 140, ""max"": 180, ""confidence"": 0.5}, {""min"": 120, ""max"": 160, ""confidence"": 0.3}, {""min"": 160, ""max"": 200, ""confidence"": 0.2}]",,5.jpg,20,142.0,40,3
