llm,qset,question_id,stated_confidence,chosen_token_confidence,max_token_confidence,correct
Meta-Llama-3.1-70B-Instruct,boolq_valid,0,0.8,0.9976238389280696,0.9976238389280696,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,1,0.9,0.9952215264082154,0.9952215264082156,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,2,0.9,0.99998265231757,0.99998265231757,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,3,0.9,0.9999386195123088,0.9999386195123088,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,4,0.9,0.8823669879624042,0.8823669879624042,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,5,0.95,0.9999861695559974,0.9999861695559974,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,6,1,0.9998970564953,0.9998970564953,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,7,0.95,0.999879215208868,0.999879215208868,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,8,0.9,0.9997232593946546,0.9997232593946546,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,9,0.95,0.999962688195141,0.999962688195141,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,10,0.8,0.9917945334551737,0.9917945334551737,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,11,0.8,0.9993606089279684,0.9993606089279684,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,12,0.9,0.9992756965743226,0.9992756965743226,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,13,0.8,0.9997292244282966,0.9997292244282966,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,14,0.9,0.965246404229396,0.965246404229396,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,15,0.9,0.9999948735119549,0.9999948735119548,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,16,0.8,0.9998818350057774,0.9998818350057774,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,17,0.95,0.9999831848371594,0.9999831848371594,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,19,0.9,0.9998080607910816,0.9998080607910816,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,20,0.9,0.9751886012876706,0.9751886012876708,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,21,0.9,0.999952143842617,0.999952143842617,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,22,0.8,0.999988795843401,0.999988795843401,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,23,0.95,0.9999543356783096,0.9999543356783096,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,24,0.8,0.9999914171204368,0.9999914171204368,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,25,0.95,0.9995234101790689,0.9995234101790688,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,26,0.99,0.9999763942320617,0.9999763942320616,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,27,0.9,0.9999062906736925,0.9999062906736924,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,28,0.7,0.9999630521994637,0.9999630521994636,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,29,0.8,0.999986944754134,0.999986944754134,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,30,0.9,0.9999701897778364,0.9999701897778364,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,31,0.7,0.9987722732751969,0.9987722732751968,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,32,0.99,0.9999996424257764,0.9999996424257764,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,33,0.8,0.946389461660613,0.946389461660613,FALSE
Meta-Llama-3.1-70B-Instruct,boolq_valid,34,0.9,0.9946830419973617,0.9946830419973616,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,35,0.99,0.9998751898640521,0.999875189864052,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,36,0.9,0.9999787832213185,0.9999787832213184,TRUE
Meta-Llama-3.1-70B-Instruct,boolq_valid,37,0.9,0.9999162706057741,0.999916270605774,TRUE
