question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight,bin_width,top_n
wgd_spd_1_02,201.0,0.15,"```json
[
  {""min"": 200, ""max"": 202, ""confidence"": 0.15},
  {""min"": 198, ""max"": 200, ""confidence"": 0.12},
  {""min"": 202, ""max"": 204, ""confidence"": 0.11},
  {""min"": 204, ""max"": 206, ""confidence"": 0.09},
  {""min"": 196, ""max"": 198, ""confidence"": 0.08},
  {""min"": 206, ""max"": 208, ""confidence"": 0.07},
  {""min"": 194, ""max"": 196, ""confidence"": 0.06},
  {""min"": 208, ""max"": 210, ""confidence"": 0.05},
  {""min"": 192, ""max"": 194, ""confidence"": 0.04},
  {""min"": 210, ""max"": 212, ""confidence"": 0.03}
]
```",,1.jpg,1,237.0,2,10
wgd_spd_1_10,195.0,0.15,"```json
[
  {""min"": 190, ""max"": 200, ""confidence"": 0.15},
  {""min"": 180, ""max"": 190, ""confidence"": 0.14},
  {""min"": 200, ""max"": 210, ""confidence"": 0.13},
  {""min"": 170, ""max"": 180, ""confidence"": 0.12},
  {""min"": 210, ""max"": 220, ""confidence"": 0.11},
  {""min"": 220, ""max"": 230, ""confidence"": 0.10},
  {""min"": 160, ""max"": 170, ""confidence"": 0.08},
  {""min"": 230, ""max"": 240, ""confidence"": 0.06},
  {""min"": 150, ""max"": 160, ""confidence"": 0.05},
  {""min"": 240, ""max"": 250, ""confidence"": 0.04}
]
```",,1.jpg,5,237.0,10,10
wgd_spd_1_20,180.0,0.25,"```json
[
  {""min"": 170, ""max"": 190, ""confidence"": 0.25},
  {""min"": 190, ""max"": 210, ""confidence"": 0.25},
  {""min"": 150, ""max"": 170, ""confidence"": 0.2},
  {""min"": 210, ""max"": 230, ""confidence"": 0.15},
  {""min"": 130, ""max"": 150, ""confidence"": 0.05}
]
```",,1.jpg,10,237.0,20,5
wgd_spd_1_40,200.0,0.5,"```json
[
  {""min"": 180, ""max"": 220, ""confidence"": 0.5},
  {""min"": 220, ""max"": 260, ""confidence"": 0.3},
  {""min"": 140, ""max"": 180, ""confidence"": 0.15}
]
```",,1.jpg,20,237.0,40,3
wgd_spd_2_02,171.0,0.15,"```json
[
  {""min"": 170, ""max"": 172, ""confidence"": 0.15},
  {""min"": 168, ""max"": 170, ""confidence"": 0.14},
  {""min"": 172, ""max"": 174, ""confidence"": 0.13},
  {""min"": 166, ""max"": 168, ""confidence"": 0.12},
  {""min"": 174, ""max"": 176, ""confidence"": 0.11},
  {""min"": 164, ""max"": 166, ""confidence"": 0.09},
  {""min"": 176, ""max"": 178, ""confidence"": 0.08},
  {""min"": 162, ""max"": 164, ""confidence"": 0.07},
  {""min"": 178, ""max"": 180, ""confidence"": 0.06},
  {""min"": 160, ""max"": 162, ""confidence"": 0.05}
]
```",,2.jpg,1,215.0,2,10
wgd_spd_2_10,175.0,0.15,"```json
[
  {""min"": 170, ""max"": 180, ""confidence"": 0.15},
  {""min"": 180, ""max"": 190, ""confidence"": 0.15},
  {""min"": 160, ""max"": 170, ""confidence"": 0.12},
  {""min"": 190, ""max"": 200, ""confidence"": 0.12},
  {""min"": 150, ""max"": 160, ""confidence"": 0.10},
  {""min"": 200, ""max"": 210, ""confidence"": 0.10},
  {""min"": 140, ""max"": 150, ""confidence"": 0.08},
  {""min"": 210, ""max"": 220, ""confidence"": 0.07},
  {""min"": 130, ""max"": 140, ""confidence"": 0.06},
  {""min"": 220, ""max"": 230, ""confidence"": 0.05}
]
```",,2.jpg,5,215.0,10,10
wgd_spd_2_20,180.0,0.3,"```json
[
  {""min"": 170, ""max"": 190, ""confidence"": 0.3},
  {""min"": 160, ""max"": 180, ""confidence"": 0.25},
  {""min"": 180, ""max"": 200, ""confidence"": 0.2},
  {""min"": 150, ""max"": 170, ""confidence"": 0.15},
  {""min"": 190, ""max"": 210, ""confidence"": 0.1}
]
```",,2.jpg,10,215.0,20,5
wgd_spd_2_40,180.0,0.5,"```json
[
  {""min"": 160, ""max"": 200, ""confidence"": 0.5},
  {""min"": 120, ""max"": 160, ""confidence"": 0.3},
  {""min"": 200, ""max"": 240, ""confidence"": 0.2}
]
```",,2.jpg,20,215.0,40,3
wgd_spd_3_02,173.0,0.12,"```json
[
  {""min"": 172, ""max"": 174, ""confidence"": 0.12},
  {""min"": 174, ""max"": 176, ""confidence"": 0.12},
  {""min"": 170, ""max"": 172, ""confidence"": 0.11},
  {""min"": 176, ""max"": 178, ""confidence"": 0.11},
  {""min"": 168, ""max"": 170, ""confidence"": 0.1},
  {""min"": 178, ""max"": 180, ""confidence"": 0.1},
  {""min"": 166, ""max"": 168, ""confidence"": 0.09},
  {""min"": 180, ""max"": 182, ""confidence"": 0.09},
  {""min"": 164, ""max"": 166, ""confidence"": 0.08},
  {""min"": 182, ""max"": 184, ""confidence"": 0.08}
]
```",,3.jpg,1,218.0,2,10
wgd_spd_3_10,175.0,0.15,"```json
[
  {""min"": 170, ""max"": 180, ""confidence"": 0.15},
  {""min"": 160, ""max"": 170, ""confidence"": 0.14},
  {""min"": 180, ""max"": 190, ""confidence"": 0.13},
  {""min"": 150, ""max"": 160, ""confidence"": 0.12},
  {""min"": 190, ""max"": 200, ""confidence"": 0.10},
  {""min"": 140, ""max"": 150, ""confidence"": 0.09},
  {""min"": 200, ""max"": 210, ""confidence"": 0.08},
  {""min"": 130, ""max"": 140, ""confidence"": 0.07},
  {""min"": 210, ""max"": 220, ""confidence"": 0.06},
  {""min"": 120, ""max"": 130, ""confidence"": 0.06}
]
```",,3.jpg,5,218.0,10,10
wgd_spd_3_20,180.0,0.3,"```json
[
  {""min"": 170, ""max"": 190, ""confidence"": 0.3},
  {""min"": 160, ""max"": 180, ""confidence"": 0.25},
  {""min"": 180, ""max"": 200, ""confidence"": 0.2},
  {""min"": 150, ""max"": 170, ""confidence"": 0.15},
  {""min"": 190, ""max"": 210, ""confidence"": 0.1}
]
```",,3.jpg,10,218.0,20,5
wgd_spd_3_40,190.0,0.55,"```json
[
  {
    ""min"": 170,
    ""max"": 210,
    ""confidence"": 0.55
  },
  {
    ""min"": 130,
    ""max"": 170,
    ""confidence"": 0.25
  },
  {
    ""min"": 210,
    ""max"": 250,
    ""confidence"": 0.2
  }
]
```",,3.jpg,20,218.0,40,3
