question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight
wgd_100_01,165.0,0.18,"{""Answer"":""165"",""Confidence"":""0.18""}",,100.jpg,1,177.0
wgd_100_02,150,0.6,"{""Answer"": ""150"", ""Confidence"": ""0.60""}",,100.jpg,2,177.0
wgd_100_03,160,0.6,"{""Answer"": ""160"", ""Confidence"": ""0.60""}",,100.jpg,3,177.0
wgd_100_04,160,0.75,"{""Answer"": ""160"", ""Confidence"": ""0.75""}",,100.jpg,4,177.0
wgd_100_05,165,0.6,"```json
{""Answer"": ""165"", ""Confidence"": ""0.6""}
```",,100.jpg,5,177.0
wgd_100_06,165,0.25,"```json
{""Answer"": ""165"", ""Confidence"": ""0.25""}
```",,100.jpg,6,177.0
wgd_100_07,165,0.25,"```json
{""Answer"": ""165"", ""Confidence"": ""0.25""}
```",,100.jpg,7,177.0
wgd_100_08,165,0.25,"```json
{""Answer"": ""165"", ""Confidence"": ""0.25""}
```",,100.jpg,8,177.0
wgd_100_09,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,100.jpg,9,177.0
wgd_100_10,165.0,0.52,"{""Answer"":""165"",""Confidence"":""0.52""}",,100.jpg,10,177.0
wgd_100_11,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.6""}",,100.jpg,11,177.0
wgd_100_12,165.0,0.43,"{""Answer"":""165"",""Confidence"":""0.43""}",,100.jpg,12,177.0
wgd_100_13,170,0.7,"{""Answer"": ""170"", ""Confidence"": ""0.7""}",,100.jpg,13,177.0
wgd_100_14,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.6""}",,100.jpg,14,177.0
wgd_100_15,165.0,0.58,"{""Answer"":""165"",""Confidence"":""0.58""}",,100.jpg,15,177.0
wgd_100_16,160,0.6,"{""Answer"": ""160"", ""Confidence"": ""0.6""}",,100.jpg,16,177.0
wgd_100_17,160,0.6,"{""Answer"": ""160"", ""Confidence"": ""0.6""}",,100.jpg,17,177.0
wgd_100_18,160,0.7,"{""Answer"": ""160"", ""Confidence"": ""0.7""}",,100.jpg,18,177.0
wgd_100_19,170,0.65,"{""Answer"": ""170"", ""Confidence"": ""0.65""}",,100.jpg,19,177.0
wgd_100_20,165.0,0.63,"{""Answer"":""165"",""Confidence"":""0.63""}",,100.jpg,20,177.0
wgd_101_01,155,0.5,"```json
{""Answer"": ""155"", ""Confidence"": ""0.5""}
```",,101.jpg,1,137.4
wgd_101_02,145.0,0.21,"{""Answer"":""145"",""Confidence"":""0.21""}",,101.jpg,2,137.4
wgd_101_03,165,0.75,"{""Answer"": ""165"", ""Confidence"": ""0.75""}",,101.jpg,3,137.4
wgd_101_04,165,0.25,"```json
{""Answer"": ""165"", ""Confidence"": ""0.25""}
```",,101.jpg,4,137.4
wgd_101_05,145,0.75,"{""Answer"": ""145"", ""Confidence"": ""0.75""}",,101.jpg,5,137.4
wgd_101_06,140.0,0.52,"{""Answer"":""140"",""Confidence"":""0.52""}",,101.jpg,6,137.4
wgd_101_07,155,0.7,"{""Answer"": ""155"", ""Confidence"": ""0.7""}",,101.jpg,7,137.4
wgd_101_08,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,101.jpg,8,137.4
wgd_101_09,145.0,0.55,"{""Answer"":""145"",""Confidence"":""0.55""}",,101.jpg,9,137.4
wgd_101_10,150,0.7,"{""Answer"": ""150"", ""Confidence"": ""0.70""}",,101.jpg,10,137.4
wgd_101_11,145.0,0.64,"{""Answer"":""145"",""Confidence"":""0.64""}",,101.jpg,11,137.4
wgd_101_12,160,0.35,"```json
{""Answer"": ""160"", ""Confidence"": ""0.35""}
```",,101.jpg,12,137.4
wgd_101_13,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,101.jpg,13,137.4
wgd_101_14,145.0,0.63,"{""Answer"":""145"",""Confidence"":""0.63""}",,101.jpg,14,137.4
wgd_101_15,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,101.jpg,15,137.4
wgd_101_16,160,0.7,"{""Answer"": ""160"", ""Confidence"": ""0.7""}",,101.jpg,16,137.4
wgd_101_17,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,101.jpg,17,137.4
wgd_101_18,160,0.6,"{""Answer"": ""160"", ""Confidence"": ""0.6""}",,101.jpg,18,137.4
wgd_101_19,160,0.7,"{""Answer"": ""160"", ""Confidence"": ""0.70""}",,101.jpg,19,137.4
wgd_101_20,155,0.7,"{""Answer"": ""155"", ""Confidence"": ""0.7""}",,101.jpg,20,137.4
wgd_102_01,165,0.7,"{""Answer"": ""165"", ""Confidence"": ""0.7""}",,102.jpg,1,152.4
wgd_102_02,155,0.15,"```json
{""Answer"": ""155"", ""Confidence"": ""0.15""}
```",,102.jpg,2,152.4
wgd_102_03,155,0.15,"```json
{""Answer"": ""155"", ""Confidence"": ""0.15""}
```",,102.jpg,3,152.4
wgd_102_04,160,0.25,"```json
{""Answer"": ""160"", ""Confidence"": ""0.25""}
```",,102.jpg,4,152.4
wgd_102_05,155,0.25,"```json
{""Answer"": ""155"", ""Confidence"": ""0.25""}
```",,102.jpg,5,152.4
wgd_102_06,160,0.7,"{""Answer"": ""160"", ""Confidence"": ""0.70""}",,102.jpg,6,152.4
wgd_102_07,160,0.6,"{""Answer"": ""160"", ""Confidence"": ""0.6""}",,102.jpg,7,152.4
wgd_102_08,170,0.55,"{""Answer"": ""170"", ""Confidence"": ""0.55""}",,102.jpg,8,152.4
wgd_102_09,165,0.75,"{""Answer"": ""165"", ""Confidence"": ""0.75""}",,102.jpg,9,152.4
wgd_102_10,160,0.7,"{""Answer"": ""160"", ""Confidence"": ""0.7""}",,102.jpg,10,152.4
wgd_102_11,165.0,0.58,"{""Answer"":""165"",""Confidence"":""0.58""}",,102.jpg,11,152.4
wgd_102_12,165,0.65,"{""Answer"": ""165"", ""Confidence"": ""0.65""}",,102.jpg,12,152.4
wgd_102_13,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,102.jpg,13,152.4
wgd_102_14,165.0,0.62,"{""Answer"":""165"",""Confidence"":""0.62""}",,102.jpg,14,152.4
wgd_102_15,170.0,0.62,"{""Answer"":""170"",""Confidence"":""0.62""}",,102.jpg,15,152.4
wgd_102_16,165.0,0.68,"{""Answer"":""165"",""Confidence"":""0.68""}",,102.jpg,16,152.4
wgd_102_17,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,102.jpg,17,152.4
wgd_102_18,160,0.7,"{""Answer"": ""160"", ""Confidence"": ""0.7""}",,102.jpg,18,152.4
wgd_102_19,170.0,0.62,"{""Answer"":""170"",""Confidence"":""0.62""}",,102.jpg,19,152.4
wgd_102_20,160,0.7,"{""Answer"": ""160"", ""Confidence"": ""0.70""}",,102.jpg,20,152.4
wgd_103_01,145.0,0.03,"{""Answer"":""145"",""Confidence"":""0.03""}",,103.jpg,1,122.4
wgd_103_02,140,0.5,"{""Answer"": ""140"", ""Confidence"": ""0.5""}",,103.jpg,2,122.4
wgd_103_03,140,0.65,"{""Answer"": ""140"", ""Confidence"": ""0.65""}",,103.jpg,3,122.4
wgd_103_04,145,0.6,"{""Answer"": ""145"", ""Confidence"": ""0.6""}",,103.jpg,4,122.4
wgd_103_05,150.0,0.62,"{""Answer"":""150"",""Confidence"":""0.62""}",,103.jpg,5,122.4
wgd_103_06,155,0.25,"```json
{""Answer"": ""155"", ""Confidence"": ""0.25""}
```",,103.jpg,6,122.4
wgd_103_07,150,0.6,"{""Answer"": ""150"", ""Confidence"": ""0.6""}",,103.jpg,7,122.4
wgd_103_08,140,0.65,"{""Answer"": ""140"", ""Confidence"": ""0.65""}",,103.jpg,8,122.4
wgd_103_09,150.0,0.58,"{""Answer"":""150"",""Confidence"":""0.58""}",,103.jpg,9,122.4
wgd_103_10,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.6""}",,103.jpg,10,122.4
wgd_103_11,145,0.6,"{""Answer"": ""145"", ""Confidence"": ""0.6""}",,103.jpg,11,122.4
wgd_103_12,145,0.6,"{""Answer"": ""145"", ""Confidence"": ""0.6""}",,103.jpg,12,122.4
wgd_103_13,145,0.6,"{""Answer"": ""145"", ""Confidence"": ""0.6""}",,103.jpg,13,122.4
wgd_103_14,145,0.6,"{""Answer"": ""145"", ""Confidence"": ""0.6""}",,103.jpg,14,122.4
wgd_103_15,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.6""}",,103.jpg,15,122.4
wgd_103_16,150.0,0.62,"{""Answer"":""150"",""Confidence"":""0.62""}",,103.jpg,16,122.4
wgd_103_17,160 lbs,0.35,"```json
{""Answer"": ""160 lbs"", ""Confidence"": ""0.35""}
```",,103.jpg,17,122.4
wgd_103_18,150.0,0.67,"{""Answer"":""150"",""Confidence"":""0.67""}",,103.jpg,18,122.4
wgd_103_19,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.6""}",,103.jpg,19,122.4
wgd_103_20,145,0.7,"{""Answer"": ""145"", ""Confidence"": ""0.7""}",,103.jpg,20,122.4
wgd_104_01,150,0.65,"{""Answer"": ""150"", ""Confidence"": ""0.65""}",,104.jpg,1,182.6
wgd_104_02,150,0.6,"{""Answer"": ""150"", ""Confidence"": ""0.60""}",,104.jpg,2,182.6
wgd_104_03,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,104.jpg,3,182.6
wgd_104_04,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,104.jpg,4,182.6
wgd_104_05,150,0.6,"{""Answer"": ""150"", ""Confidence"": ""0.6""}",,104.jpg,5,182.6
wgd_104_06,160,0.6,"{""Answer"": ""160"", ""Confidence"": ""0.6""}",,104.jpg,6,182.6
wgd_104_07,150,0.7,"{""Answer"": ""150"", ""Confidence"": ""0.70""}",,104.jpg,7,182.6
wgd_104_08,165,0.75,"```json
{""Answer"": ""165"", ""Confidence"": ""0.75""}
```",,104.jpg,8,182.6
wgd_104_09,155.0,0.62,"{""Answer"":""155"",""Confidence"":""0.62""}",,104.jpg,9,182.6
wgd_104_10,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,104.jpg,10,182.6
wgd_104_11,165,0.6,"```json
{""Answer"": ""165"", ""Confidence"": ""0.6""}
```",,104.jpg,11,182.6
wgd_104_12,165.0,0.72,"{""Answer"":""165"",""Confidence"":""0.72""}",,104.jpg,12,182.6
wgd_104_13,165,0.6,"```json
{""Answer"": ""165"", ""Confidence"": ""0.6""}
```",,104.jpg,13,182.6
wgd_104_14,175,0.35,"```json
{""Answer"": ""175"", ""Confidence"": ""0.35""}
```",,104.jpg,14,182.6
wgd_104_15,170,0.55,"{""Answer"": ""170"", ""Confidence"": ""0.55""}",,104.jpg,15,182.6
wgd_104_16,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.6""}",,104.jpg,16,182.6
wgd_104_17,175,0.35,"```json
{""Answer"": ""175"", ""Confidence"": ""0.35""}
```",,104.jpg,17,182.6
wgd_104_18,175 lbs,0.35,"```json
{""Answer"": ""175 lbs"", ""Confidence"": ""0.35""}
```",,104.jpg,18,182.6
wgd_104_19,165,0.7,"{""Answer"": ""165"", ""Confidence"": ""0.7""}",,104.jpg,19,182.6
wgd_104_20,160.0,0.72,"{""Answer"":""160"",""Confidence"":""0.72""}",,104.jpg,20,182.6
wgd_105_01,155,0.6,"```json
{""Answer"": ""155"", ""Confidence"": ""0.6""}
```",,105.jpg,1,161.6
wgd_105_02,165.0,0.18,"{""Answer"":""165"",""Confidence"":""0.18""}",,105.jpg,2,161.6
wgd_105_03,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,105.jpg,3,161.6
wgd_105_04,165,0.25,"```json
{""Answer"": ""165"", ""Confidence"": ""0.25""}
```",,105.jpg,4,161.6
wgd_105_05,165.0,0.46,"{""Answer"":""165"",""Confidence"":""0.46""}",,105.jpg,5,161.6
wgd_105_06,165.0,0.42,"{""Answer"":""165"",""Confidence"":""0.42""}",,105.jpg,6,161.6
wgd_105_07,165 lbs,0.35,"```json
{""Answer"": ""165 lbs"", ""Confidence"": ""0.35""}
```",,105.jpg,7,161.6
wgd_105_08,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,105.jpg,8,161.6
wgd_105_09,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.60""}",,105.jpg,9,161.6
wgd_105_10,165,0.75,"{""Answer"": ""165"", ""Confidence"": ""0.75""}",,105.jpg,10,161.6
wgd_105_11,170,0.75,"{""Answer"": ""170"", ""Confidence"": ""0.75""}",,105.jpg,11,161.6
wgd_105_12,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,105.jpg,12,161.6
wgd_105_13,175.0,0.62,"{""Answer"":""175"",""Confidence"":""0.62""}",,105.jpg,13,161.6
wgd_105_14,165,0.7,"{""Answer"": ""165"", ""Confidence"": ""0.7""}",,105.jpg,14,161.6
wgd_105_15,165.0,0.62,"{""Answer"":""165"",""Confidence"":""0.62""}",,105.jpg,15,161.6
wgd_105_16,170.0,0.62,"{""Answer"":""170"",""Confidence"":""0.62""}",,105.jpg,16,161.6
wgd_105_17,170,0.7,"{""Answer"": ""170"", ""Confidence"": ""0.7""}",,105.jpg,17,161.6
wgd_105_18,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,105.jpg,18,161.6
wgd_105_19,165.0,0.67,"{""Answer"":""165"",""Confidence"":""0.67""}",,105.jpg,19,161.6
wgd_105_20,165 lbs,0.35,"```json
{""Answer"": ""165 lbs"", ""Confidence"": ""0.35""}
```",,105.jpg,20,161.6
wgd_106_01,150,0.5,"{""Answer"": ""150"", ""Confidence"": ""0.50""}",,106.jpg,1,173.0
wgd_106_02,165,0.65,"{""Answer"": ""165"", ""Confidence"": ""0.65""}",,106.jpg,2,173.0
wgd_106_03,145.0,0.32,"{""Answer"":""145"",""Confidence"":""0.32""}",,106.jpg,3,173.0
wgd_106_04,155,0.25,"```json
{""Answer"": ""155"", ""Confidence"": ""0.25""}
```",,106.jpg,4,173.0
wgd_106_05,145.0,0.52,"{""Answer"":""145"",""Confidence"":""0.52""}",,106.jpg,5,173.0
wgd_106_06,155,0.25,"```json
{""Answer"": ""155"", ""Confidence"": ""0.25""}
```",,106.jpg,6,173.0
wgd_106_07,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.6""}",,106.jpg,7,173.0
wgd_106_08,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.6""}",,106.jpg,8,173.0
wgd_106_09,145.0,0.62,"{""Answer"":""145"",""Confidence"":""0.62""}",,106.jpg,9,173.0
wgd_106_10,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,106.jpg,10,173.0
wgd_106_11,145.0,0.52,"{""Answer"":""145"",""Confidence"":""0.52""}",,106.jpg,11,173.0
wgd_106_12,150,0.6,"{""Answer"": ""150"", ""Confidence"": ""0.6""}",,106.jpg,12,173.0
wgd_106_13,145.0,0.71,"{""Answer"":""145"",""Confidence"":""0.71""}",,106.jpg,13,173.0
wgd_106_14,155,0.35,"```json
{""Answer"": ""155"", ""Confidence"": ""0.35""}
```",,106.jpg,14,173.0
wgd_106_15,145.0,0.63,"{""Answer"":""145"",""Confidence"":""0.63""}",,106.jpg,15,173.0
wgd_106_16,140.0,0.61,"{""Answer"":""140"",""Confidence"":""0.61""}",,106.jpg,16,173.0
wgd_106_17,155,0.35,"```json
{""Answer"": ""155"", ""Confidence"": ""0.35""}
```",,106.jpg,17,173.0
wgd_106_18,165,0.7,"{""Answer"": ""165"", ""Confidence"": ""0.7""}",,106.jpg,18,173.0
wgd_106_19,150,0.6,"{""Answer"": ""150"", ""Confidence"": ""0.6""}",,106.jpg,19,173.0
wgd_106_20,155,0.35,"```json
{""Answer"": ""155"", ""Confidence"": ""0.35""}
```",,106.jpg,20,173.0
wgd_107_01,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.60""}",,107.jpg,1,135.6
wgd_107_02,140,0.4,"{""Answer"": ""140"", ""Confidence"": ""0.40""}",,107.jpg,2,135.6
wgd_107_03,145.0,0.33,"{""Answer"":""145"",""Confidence"":""0.33""}",,107.jpg,3,135.6
wgd_107_04,135.0,0.32,"{""Answer"":""135"",""Confidence"":""0.32""}",,107.jpg,4,135.6
wgd_107_05,140,0.65,"{""Answer"": ""140"", ""Confidence"": ""0.65""}",,107.jpg,5,135.6
wgd_107_06,145,0.65,"{""Answer"": ""145"", ""Confidence"": ""0.65""}",,107.jpg,6,135.6
wgd_107_07,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.6""}",,107.jpg,7,135.6
wgd_107_08,145.0,0.42,"{""Answer"":""145"",""Confidence"":""0.42""}",,107.jpg,8,135.6
wgd_107_09,130,0.25,"```json
{""Answer"": ""130"", ""Confidence"": ""0.25""}
```",,107.jpg,9,135.6
wgd_107_10,145,0.7,"{""Answer"": ""145"", ""Confidence"": ""0.70""}",,107.jpg,10,135.6
wgd_107_11,135,0.25,"```json
{""Answer"": ""135"", ""Confidence"": ""0.25""}
```",,107.jpg,11,135.6
wgd_107_12,140,0.65,"```json
{
  ""Answer"": ""140"",
  ""Confidence"": ""0.65""
}
```",,107.jpg,12,135.6
wgd_107_13,140.0,0.46,"{""Answer"":""140"",""Confidence"":""0.46""}",,107.jpg,13,135.6
wgd_107_14,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.6""}",,107.jpg,14,135.6
wgd_107_15,145,0.7,"{""Answer"": ""145"", ""Confidence"": ""0.7""}",,107.jpg,15,135.6
wgd_107_16,145.0,0.72,"{""Answer"":""145"",""Confidence"":""0.72""}",,107.jpg,16,135.6
wgd_107_17,150,0.7,"{""Answer"": ""150"", ""Confidence"": ""0.7""}",,107.jpg,17,135.6
wgd_107_18,145.0,0.43,"{""Answer"":""145"",""Confidence"":""0.43""}",,107.jpg,18,135.6
wgd_107_19,130,0.25,"```json
{""Answer"": ""130"", ""Confidence"": ""0.25""}
```",,107.jpg,19,135.6
wgd_107_20,145,0.7,"{""Answer"": ""145"", ""Confidence"": ""0.70""}",,107.jpg,20,135.6
wgd_108_01,125.0,0.12,"{""Answer"":""125"",""Confidence"":""0.12""}",,108.jpg,1,107.4
wgd_108_02,125.0,0.22,"{""Answer"":""125"",""Confidence"":""0.22""}",,108.jpg,2,107.4
wgd_108_03,125,0.6,"{""Answer"": ""125"", ""Confidence"": ""0.6""}",,108.jpg,3,107.4
wgd_108_04,120,0.7,"```json
{""Answer"": ""120"", ""Confidence"": ""0.7""}
```",,108.jpg,4,107.4
wgd_108_05,125 lbs,0.7,"{""Answer"": ""125 lbs"", ""Confidence"": ""0.7""}",,108.jpg,5,107.4
wgd_108_06,130,0.65,"{""Answer"": ""130"", ""Confidence"": ""0.65""}",,108.jpg,6,107.4
wgd_108_07,125,0.25,"```json
{""Answer"": ""125"", ""Confidence"": ""0.25""}
```",,108.jpg,7,107.4
wgd_108_08,127.0,0.58,"{""Answer"":""127"",""Confidence"":""0.58""}",,108.jpg,8,107.4
wgd_108_09,125,0.25,"```json
{""Answer"": ""125"", ""Confidence"": ""0.25""}
```",,108.jpg,9,107.4
wgd_108_10,125 lbs,0.6,"{""Answer"": ""125 lbs"", ""Confidence"": ""0.6""}",,108.jpg,10,107.4
wgd_108_11,125,0.6,"```json
{""Answer"": ""125"", ""Confidence"": ""0.6""}
```",,108.jpg,11,107.4
wgd_108_12,130,0.55,"{""Answer"": ""130"", ""Confidence"": ""0.55""}",,108.jpg,12,107.4
wgd_108_13,130,0.6,"{""Answer"": ""130"", ""Confidence"": ""0.6""}",,108.jpg,13,107.4
wgd_108_14,130,0.75,"{""Answer"": ""130"", ""Confidence"": ""0.75""}",,108.jpg,14,107.4
wgd_108_15,125.0,0.63,"{""Answer"":""125"",""Confidence"":""0.63""}",,108.jpg,15,107.4
wgd_108_16,128.0,0.58,"{""Answer"":""128"",""Confidence"":""0.58""}",,108.jpg,16,107.4
wgd_108_17,125,0.35,"```json
{""Answer"": ""125"", ""Confidence"": ""0.35""}
```",,108.jpg,17,107.4
wgd_108_18,125,0.35,"```json
{""Answer"": ""125"", ""Confidence"": ""0.35""}
```",,108.jpg,18,107.4
wgd_108_19,125,0.25,"```json
{""Answer"": ""125"", ""Confidence"": ""0.25""}
```",,108.jpg,19,107.4
wgd_108_20,130,0.7,"{""Answer"": ""130"", ""Confidence"": ""0.7""}",,108.jpg,20,107.4
wgd_109_01,135.0,0.03,"{""Answer"":""135"",""Confidence"":""0.03""}",,109.jpg,1,120.0
wgd_109_02,118.0,0.18,"{""Answer"":""118"",""Confidence"":""0.18""}",,109.jpg,2,120.0
wgd_109_03,130,0.6,"{""Answer"": ""130"", ""Confidence"": ""0.60""}",,109.jpg,3,120.0
wgd_109_04,125.0,0.22,"{""Answer"":""125"",""Confidence"":""0.22""}",,109.jpg,4,120.0
wgd_109_05,125.0,0.32,"{""Answer"":""125"",""Confidence"":""0.32""}",,109.jpg,5,120.0
wgd_109_06,125,0.25,"```json
{""Answer"": ""125"", ""Confidence"": ""0.25""}
```",,109.jpg,6,120.0
wgd_109_07,130,0.25,"```json
{""Answer"": ""130"", ""Confidence"": ""0.25""}
```",,109.jpg,7,120.0
wgd_109_08,125.0,0.38,"{""Answer"":""125"",""Confidence"":""0.38""}",,109.jpg,8,120.0
wgd_109_09,125,0.25,"```json
{""Answer"": ""125"", ""Confidence"": ""0.25""}
```",,109.jpg,9,120.0
wgd_109_10,128.0,0.43,"{""Answer"":""128"",""Confidence"":""0.43""}",,109.jpg,10,120.0
wgd_109_11,125.0,0.34,"{""Answer"":""125"",""Confidence"":""0.34""}",,109.jpg,11,120.0
wgd_109_12,128.0,0.42,"{""Answer"":""128"",""Confidence"":""0.42""}",,109.jpg,12,120.0
wgd_109_13,125,0.6,"{""Answer"": ""125"", ""Confidence"": ""0.6""}",,109.jpg,13,120.0
wgd_109_14,125 lbs,0.35,"```json
{""Answer"": ""125 lbs"", ""Confidence"": ""0.35""}
```",,109.jpg,14,120.0
wgd_109_15,130,0.6,"{""Answer"": ""130"", ""Confidence"": ""0.6""}",,109.jpg,15,120.0
wgd_109_16,125.0,0.54,"{""Answer"":""125"",""Confidence"":""0.54""}",,109.jpg,16,120.0
wgd_109_17,115,0.7,"{""Answer"": ""115"", ""Confidence"": ""0.7""}",,109.jpg,17,120.0
wgd_109_18,120.0,0.31,"{""Answer"":""120"",""Confidence"":""0.31""}",,109.jpg,18,120.0
wgd_109_19,125,0.6,"{""Answer"": ""125"", ""Confidence"": ""0.6""}",,109.jpg,19,120.0
wgd_109_20,125.0,0.41,"{""Answer"":""125"",""Confidence"":""0.41""}",,109.jpg,20,120.0
wgd_10_01,125,0.15,"```json
{""Answer"": ""125"", ""Confidence"": ""0.15""}
```",,10.jpg,1,130.0
wgd_10_02,140,0.7,"{""Answer"": ""140"", ""Confidence"": ""0.7""}",,10.jpg,2,130.0
wgd_10_03,140,0.7,"{""Answer"": ""140"", ""Confidence"": ""0.7""}",,10.jpg,3,130.0
wgd_10_04,125,0.15,"```json
{""Answer"": ""125"", ""Confidence"": ""0.15""}
```",,10.jpg,4,130.0
wgd_10_05,145.0,0.34,"{""Answer"":""145"",""Confidence"":""0.34""}",,10.jpg,5,130.0
wgd_10_06,145.0,0.34,"{""Answer"":""145"",""Confidence"":""0.34""}",,10.jpg,6,130.0
wgd_10_07,130,0.25,"```json
{""Answer"": ""130"", ""Confidence"": ""0.25""}
```",,10.jpg,7,130.0
wgd_10_08,150.0,0.42,"{""Answer"":""150"",""Confidence"":""0.42""}",,10.jpg,8,130.0
wgd_10_09,150.0,0.28,"{""Answer"":""150"",""Confidence"":""0.28""}",,10.jpg,9,130.0
wgd_10_10,140,0.7,"{""Answer"": ""140"", ""Confidence"": ""0.7""}",,10.jpg,10,130.0
wgd_10_11,145,0.7,"```json
{""Answer"": ""145"", ""Confidence"": ""0.7""}
```",,10.jpg,11,130.0
wgd_10_12,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.60""}",,10.jpg,12,130.0
wgd_10_13,140,0.65,"{""Answer"": ""140"", ""Confidence"": ""0.65""}",,10.jpg,13,130.0
wgd_10_14,140,0.7,"{""Answer"": ""140"", ""Confidence"": ""0.7""}",,10.jpg,14,130.0
wgd_10_15,125,0.35,"```json
{""Answer"": ""125"", ""Confidence"": ""0.35""}
```",,10.jpg,15,130.0
wgd_10_16,145.0,0.52,"{""Answer"":""145"",""Confidence"":""0.52""}",,10.jpg,16,130.0
wgd_10_17,130,0.55,"{""Answer"": ""130"", ""Confidence"": ""0.55""}",,10.jpg,17,130.0
wgd_10_18,135,0.25,"```json
{""Answer"": ""135"", ""Confidence"": ""0.25""}
```",,10.jpg,18,130.0
wgd_10_19,150.0,0.52,"{""Answer"":""150"",""Confidence"":""0.52""}",,10.jpg,19,130.0
wgd_10_20,140,0.6,"{""Answer"": ""140"", ""Confidence"": ""0.60""}",,10.jpg,20,130.0
wgd_110_01,140,0.05,"```json
{""Answer"": ""140"", ""Confidence"": ""0.05""}
```",,110.jpg,1,147.0
wgd_110_02,130,0.4,"{""Answer"": ""130"", ""Confidence"": ""0.40""}",,110.jpg,2,147.0
wgd_110_03,125,0.5,"{""Answer"": ""125"", ""Confidence"": ""0.5""}",,110.jpg,3,147.0
wgd_110_04,145,0.15,"```json
{""Answer"": ""145"", ""Confidence"": ""0.15""}
```",,110.jpg,4,147.0
wgd_110_05,120.0,0.28,"{""Answer"":""120"",""Confidence"":""0.28""}",,110.jpg,5,147.0
