question_id,Answer,Confidence,raw,error,min_age,sex,radius,bin_width,top_n
le_spd_0_male_2,77.0,0.08,"[{""min"": 76,""max"": 78,""confidence"": 0.08},{""min"": 78,""max"": 80,""confidence"": 0.08},{""min"": 74,""max"": 76,""confidence"": 0.075},{""min"": 80,""max"": 82,""confidence"": 0.075},{""min"": 72,""max"": 74,""confidence"": 0.07},{""min"": 82,""max"": 84,""confidence"": 0.07},{""min"": 84,""max"": 86,""confidence"": 0.065},{""min"": 70,""max"": 72,""confidence"": 0.06},{""min"": 86,""max"": 88,""confidence"": 0.06},{""min"": 68,""max"": 70,""confidence"": 0.055}]",,0,male,1,2,10
le_spd_0_male_10,85.0,0.34,"[{""min"": 80,""max"": 90,""confidence"": 0.34},{""min"": 70,""max"": 80,""confidence"": 0.24},{""min"": 90,""max"": 100,""confidence"": 0.18},{""min"": 60,""max"": 70,""confidence"": 0.1},{""min"": 100,""max"": 110,""confidence"": 0.06},{""min"": 50,""max"": 60,""confidence"": 0.035},{""min"": 110,""max"": 120,""confidence"": 0.015},{""min"": 40,""max"": 50,""confidence"": 0.01},{""min"": 30,""max"": 40,""confidence"": 0.007},{""min"": 20,""max"": 30,""confidence"": 0.003}]",,0,male,5,10,10
le_spd_0_male_20,90.0,0.45,"[{""min"": 80,""max"": 100,""confidence"": 0.45},{""min"": 60,""max"": 80,""confidence"": 0.35},{""min"": 100,""max"": 120,""confidence"": 0.12},{""min"": 40,""max"": 60,""confidence"": 0.06},{""min"": 20,""max"": 40,""confidence"": 0.02}]",,0,male,10,20,5
le_spd_0_male_40,100.0,0.58,"[{""min"": 80,""max"": 120,""confidence"": 0.58},{""min"": 40,""max"": 80,""confidence"": 0.28},{""min"": 0,""max"": 40,""confidence"": 0.14}]",,0,male,20,40,3
le_spd_1_male_2,79.0,0.17,"[{""min"": 78,""max"": 80,""confidence"": 0.17},{""min"": 80,""max"": 82,""confidence"": 0.16},{""min"": 76,""max"": 78,""confidence"": 0.13},{""min"": 82,""max"": 84,""confidence"": 0.12},{""min"": 74,""max"": 76,""confidence"": 0.1},{""min"": 84,""max"": 86,""confidence"": 0.09},{""min"": 72,""max"": 74,""confidence"": 0.07},{""min"": 86,""max"": 88,""confidence"": 0.06},{""min"": 70,""max"": 72,""confidence"": 0.05},{""min"": 88,""max"": 90,""confidence"": 0.03}]",,1,male,1,2,10
le_spd_1_male_10,75.0,0.22,"[{""min"": 70,""max"": 80,""confidence"": 0.22},{""min"": 80,""max"": 90,""confidence"": 0.21},{""min"": 60,""max"": 70,""confidence"": 0.18},{""min"": 90,""max"": 100,""confidence"": 0.14},{""min"": 50,""max"": 60,""confidence"": 0.11},{""min"": 100,""max"": 110,""confidence"": 0.06},{""min"": 40,""max"": 50,""confidence"": 0.04},{""min"": 30,""max"": 40,""confidence"": 0.015},{""min"": 20,""max"": 30,""confidence"": 0.008},{""min"": 110,""max"": 120,""confidence"": 0.007}]",,1,male,5,10,10
le_spd_1_male_20,90.0,0.55,"[{""min"": 80,""max"": 100,""confidence"": 0.55},{""min"": 60,""max"": 80,""confidence"": 0.3},{""min"": 100,""max"": 120,""confidence"": 0.08},{""min"": 40,""max"": 60,""confidence"": 0.05},{""min"": 20,""max"": 40,""confidence"": 0.02}]",,1,male,10,20,5
le_spd_1_male_40,90.0,0.72,"[{""min"":70,""max"":110,""confidence"":0.72},{""min"":30,""max"":70,""confidence"":0.24},{""min"":110,""max"":150,""confidence"":0.04}]",,1,male,20,40,3
le_spd_2_male_2,83.0,0.16,"[{""min"": 76,""max"": 78,""confidence"": 0.10},{""min"": 78,""max"": 80,""confidence"": 0.13},{""min"": 80,""max"": 82,""confidence"": 0.15},{""min"": 82,""max"": 84,""confidence"": 0.16},{""min"": 84,""max"": 86,""confidence"": 0.15},{""min"": 86,""max"": 88,""confidence"": 0.12},{""min"": 88,""max"": 90,""confidence"": 0.09},{""min"": 90,""max"": 92,""confidence"": 0.06},{""min"": 92,""max"": 94,""confidence"": 0.03},{""min"": 94,""max"": 96,""confidence"":0.01}]",,2,male,1,2,10
le_spd_2_male_10,85.0,0.28,"[{""min"":80,""max"":90,""confidence"":0.28},{""min"":70,""max"":80,""confidence"":0.22},{""min"":90,""max"":100,""confidence"":0.16},{""min"":60,""max"":70,""confidence"":0.12},{""min"":50,""max"":60,""confidence"":0.08},{""min"":100,""max"":110,""confidence"":0.05},{""min"":40,""max"":50,""confidence"":0.04},{""min"":30,""max"":40,""confidence"":0.025},{""min"":20,""max"":30,""confidence"":0.013},{""min"":10,""max"":20,""confidence"":0.005}]",,2,male,5,10,10
