question_id,Answer,Confidence,raw,error,tok_in,tok_out,photo,within_lbs,true_weight,bin_width,top_n
wgd_spd_1_02,201.0,0.18,"```json
[
  {""min"": 200, ""max"": 202, ""confidence"": 0.18},
  {""min"": 198, ""max"": 200, ""confidence"": 0.16},
  {""min"": 202, ""max"": 204, ""confidence"": 0.15},
  {""min"": 196, ""max"": 198, ""confidence"": 0.14},
  {""min"": 204, ""max"": 206, ""confidence"": 0.12},
  {""min"": 194, ""max"": 196, ""confidence"": 0.10},
  {""min"": 206, ""max"": 208, ""confidence"": 0.08},
  {""min"": 192, ""max"": 194, ""confidence"": 0.04},
  {""min"": 208, ""max"": 210, ""confidence"": 0.02},
  {""min"": 190, ""max"": 192, ""confidence"": 0.01}
]
```",,1716,231,1.jpg,1,237.0,2,10
wgd_spd_1_10,205.0,0.25,"```json
[
  {""min"": 200, ""max"": 210, ""confidence"": 0.25},
  {""min"": 210, ""max"": 220, ""confidence"": 0.23},
  {""min"": 190, ""max"": 200, ""confidence"": 0.20},
  {""min"": 220, ""max"": 230, ""confidence"": 0.15},
  {""min"": 180, ""max"": 190, ""confidence"": 0.10},
  {""min"": 230, ""max"": 240, ""confidence"": 0.04},
  {""min"": 170, ""max"": 180, ""confidence"": 0.01},
  {""min"": 240, ""max"": 250, ""confidence"": 0.01},
  {""min"": 160, ""max"": 170, ""confidence"": 0.005},
  {""min"": 250, ""max"": 260, ""confidence"": 0.005}
]
```",,1716,231,1.jpg,5,237.0,10,10
wgd_spd_1_20,210.0,0.3,"```json
[
  {""min"": 200, ""max"": 220, ""confidence"": 0.30},
  {""min"": 180, ""max"": 200, ""confidence"": 0.28},
  {""min"": 220, ""max"": 240, ""confidence"": 0.22},
  {""min"": 160, ""max"": 180, ""confidence"": 0.15},
  {""min"": 240, ""max"": 260, ""confidence"": 0.05}
]
```",,1716,121,1.jpg,10,237.0,20,5
wgd_spd_1_40,220.0,0.45,"```json
[
  {""min"": 200, ""max"": 240, ""confidence"": 0.45},
  {""min"": 160, ""max"": 200, ""confidence"": 0.35},
  {""min"": 240, ""max"": 280, ""confidence"": 0.20}
]
```",,1716,77,1.jpg,20,237.0,40,3
wgd_spd_2_02,181.0,0.15,"```json
[
  {""min"": 180, ""max"": 182, ""confidence"": 0.15},
  {""min"": 178, ""max"": 180, ""confidence"": 0.14},
  {""min"": 182, ""max"": 184, ""confidence"": 0.13},
  {""min"": 176, ""max"": 178, ""confidence"": 0.12},
  {""min"": 184, ""max"": 186, ""confidence"": 0.11},
  {""min"": 174, ""max"": 176, ""confidence"": 0.10},
  {""min"": 186, ""max"": 188, ""confidence"": 0.09},
  {""min"": 172, ""max"": 174, ""confidence"": 0.08},
  {""min"": 188, ""max"": 190, ""confidence"": 0.05},
  {""min"": 190, ""max"": 192, ""confidence"": 0.03}
]
```",,1716,231,2.jpg,1,215.0,2,10
wgd_spd_2_10,185.0,0.25,"```json
[
  {""min"": 180, ""max"": 190, ""confidence"": 0.25},
  {""min"": 170, ""max"": 180, ""confidence"": 0.22},
  {""min"": 190, ""max"": 200, ""confidence"": 0.18},
  {""min"": 160, ""max"": 170, ""confidence"": 0.15},
  {""min"": 200, ""max"": 210, ""confidence"": 0.10},
  {""min"": 150, ""max"": 160, ""confidence"": 0.05},
  {""min"": 210, ""max"": 220, ""confidence"": 0.03},
  {""min"": 140, ""max"": 150, ""confidence"": 0.01},
  {""min"": 220, ""max"": 230, ""confidence"": 0.005},
  {""min"": 130, ""max"": 140, ""confidence"": 0.002}
]
```",,1716,231,2.jpg,5,215.0,10,10
wgd_spd_2_20,190.0,0.35,"```json
[
  {""min"": 180, ""max"": 200, ""confidence"": 0.35},
  {""min"": 160, ""max"": 180, ""confidence"": 0.30},
  {""min"": 200, ""max"": 220, ""confidence"": 0.20},
  {""min"": 140, ""max"": 160, ""confidence"": 0.10},
  {""min"": 220, ""max"": 240, ""confidence"": 0.05}
]
```",,1716,121,2.jpg,10,215.0,20,5
wgd_spd_2_40,190.0,0.45,"```json
[
  {""min"": 170, ""max"": 210, ""confidence"": 0.45},
  {""min"": 190, ""max"": 230, ""confidence"": 0.35},
  {""min"": 150, ""max"": 190, ""confidence"": 0.20}
]
```",,1716,77,2.jpg,20,215.0,40,3
wgd_spd_3_02,161.0,0.18,"```json
[
  {""min"": 160, ""max"": 162, ""confidence"": 0.18},
  {""min"": 158, ""max"": 160, ""confidence"": 0.16},
  {""min"": 162, ""max"": 164, ""confidence"": 0.15},
  {""min"": 156, ""max"": 158, ""confidence"": 0.13},
  {""min"": 164, ""max"": 166, ""confidence"": 0.12},
  {""min"": 154, ""max"": 156, ""confidence"": 0.10},
  {""min"": 166, ""max"": 168, ""confidence"": 0.08},
  {""min"": 152, ""max"": 154, ""confidence"": 0.05},
  {""min"": 168, ""max"": 170, ""confidence"": 0.02},
  {""min"": 150, ""max"": 152, ""confidence"": 0.01}
]
```",,1716,231,3.jpg,1,218.0,2,10
wgd_spd_3_10,155.0,0.25,"```json
[
  {""min"": 150, ""max"": 160, ""confidence"": 0.25},
  {""min"": 160, ""max"": 170, ""confidence"": 0.23},
  {""min"": 140, ""max"": 150, ""confidence"": 0.18},
  {""min"": 170, ""max"": 180, ""confidence"": 0.16},
  {""min"": 130, ""max"": 140, ""confidence"": 0.10},
  {""min"": 180, ""max"": 190, ""confidence"": 0.05},
  {""min"": 120, ""max"": 130, ""confidence"": 0.02},
  {""min"": 190, ""max"": 200, ""confidence"": 0.01},
  {""min"": 110, ""max"": 120, ""confidence"": 0.00},
  {""min"": 200, ""max"": 210, ""confidence"": 0.00}
]
```",,1716,231,3.jpg,5,218.0,10,10
