question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight,participant
wgd_203_20,120.0,0.93,"{""Answer"": ""120"", ""Confidence"": ""0.93""}",,203.jpg,20,128.0,R_1I4923xQj8r5fyR
wgd_204_05,122.0,0.81,"{""Answer"": ""122"", ""Confidence"": ""0.81""}",,204.jpg,5,138.0,R_1I4923xQj8r5fyR
wgd_205_10,110.0,0.77,"{""Answer"": ""110"", ""Confidence"": ""0.77""}",,205.jpg,10,104.0,R_1I4923xQj8r5fyR
wgd_208_20,129.0,0.87,"{""Answer"": ""129"", ""Confidence"": ""0.87""}",,208.jpg,20,139.0,R_1I4923xQj8r5fyR
wgd_210_10,154.0,0.81,"{""Answer"": ""154"", ""Confidence"": ""0.81""}",,210.jpg,10,167.0,R_1I4923xQj8r5fyR
wgd_213_20,165.0,0.86,"{""Answer"": ""165"", ""Confidence"": ""0.86""}",,213.jpg,20,174.0,R_1I4923xQj8r5fyR
wgd_215_20,123.0,0.81,"{""Answer"": ""123"", ""Confidence"": ""0.81""}",,215.jpg,20,154.0,R_1I4923xQj8r5fyR
wgd_216_01,160.0,0.38,"{""Answer"": ""160"", ""Confidence"": ""0.38""}",,216.jpg,1,180.0,R_1I4923xQj8r5fyR
wgd_217_05,115.0,0.75,"{""Answer"": ""115"", ""Confidence"": ""0.75""}",,217.jpg,5,116.0,R_1I4923xQj8r5fyR
wgd_228_20,110.0,0.71,"{""Answer"": ""110"", ""Confidence"": ""0.71""}",,228.jpg,20,135.0,R_1I4923xQj8r5fyR
wgd_232_01,131.0,0.5,"{""Answer"": ""131"", ""Confidence"": ""0.5""}",,232.jpg,1,190.0,R_1I4923xQj8r5fyR
wgd_233_05,170.0,0.61,"{""Answer"": ""170"", ""Confidence"": ""0.61""}",,233.jpg,5,180.0,R_1I4923xQj8r5fyR
wgd_236_10,108.0,0.71,"{""Answer"": ""108"", ""Confidence"": ""0.71""}",,236.jpg,10,117.0,R_1I4923xQj8r5fyR
wgd_237_01,125.0,0.49,"{""Answer"": ""125"", ""Confidence"": ""0.49""}",,237.jpg,1,170.0,R_1I4923xQj8r5fyR
wgd_243_10,120.0,0.82,"{""Answer"": ""120"", ""Confidence"": ""0.82""}",,243.jpg,10,157.0,R_1I4923xQj8r5fyR
wgd_244_10,135.0,0.81,"{""Answer"": ""135"", ""Confidence"": ""0.81""}",,244.jpg,10,161.0,R_1I4923xQj8r5fyR
wgd_245_05,142.0,0.76,"{""Answer"": ""142"", ""Confidence"": ""0.76""}",,245.jpg,5,169.0,R_1I4923xQj8r5fyR
wgd_246_01,102.0,0.71,"{""Answer"": ""102"", ""Confidence"": ""0.71""}",,246.jpg,1,117.0,R_1I4923xQj8r5fyR
wgd_248_01,106.0,0.5,"{""Answer"": ""106"", ""Confidence"": ""0.5""}",,248.jpg,1,121.0,R_1I4923xQj8r5fyR
wgd_250_05,138.0,0.75,"{""Answer"": ""138"", ""Confidence"": ""0.75""}",,250.jpg,5,171.0,R_1I4923xQj8r5fyR
wgd_200_20,180.0,0.69,"{""Answer"": ""180"", ""Confidence"": ""0.69""}",,200.jpg,20,214.0,R_5EyqFEVmohj8NCl
wgd_201_20,140.0,0.65,"{""Answer"": ""140"", ""Confidence"": ""0.65""}",,201.jpg,20,158.0,R_5EyqFEVmohj8NCl
wgd_203_10,130.0,0.4,"{""Answer"": ""130"", ""Confidence"": ""0.4""}",,203.jpg,10,128.0,R_5EyqFEVmohj8NCl
wgd_205_10,125.0,0.3,"{""Answer"": ""125"", ""Confidence"": ""0.3""}",,205.jpg,10,104.0,R_5EyqFEVmohj8NCl
wgd_208_01,150.0,0.01,"{""Answer"": ""150"", ""Confidence"": ""0.01""}",,208.jpg,1,139.0,R_5EyqFEVmohj8NCl
wgd_211_05,170.0,0.11,"{""Answer"": ""170"", ""Confidence"": ""0.11""}",,211.jpg,5,146.0,R_5EyqFEVmohj8NCl
wgd_216_05,170.0,0.31,"{""Answer"": ""170"", ""Confidence"": ""0.31""}",,216.jpg,5,180.0,R_5EyqFEVmohj8NCl
wgd_220_01,170.0,0.05,"{""Answer"": ""170"", ""Confidence"": ""0.05""}",,220.jpg,1,149.0,R_5EyqFEVmohj8NCl
wgd_223_05,170.0,0.3,"{""Answer"": ""170"", ""Confidence"": ""0.3""}",,223.jpg,5,183.0,R_5EyqFEVmohj8NCl
wgd_224_20,115.0,0.49,"{""Answer"": ""115"", ""Confidence"": ""0.49""}",,224.jpg,20,106.0,R_5EyqFEVmohj8NCl
wgd_227_01,175.0,0.02,"{""Answer"": ""175"", ""Confidence"": ""0.02""}",,227.jpg,1,180.0,R_5EyqFEVmohj8NCl
wgd_230_10,115.0,0.71,"{""Answer"": ""115"", ""Confidence"": ""0.71""}",,230.jpg,10,105.0,R_5EyqFEVmohj8NCl
wgd_231_01,175.0,0.04,"{""Answer"": ""175"", ""Confidence"": ""0.04""}",,231.jpg,1,145.0,R_5EyqFEVmohj8NCl
wgd_235_20,130.0,0.79,"{""Answer"": ""130"", ""Confidence"": ""0.79""}",,235.jpg,20,134.0,R_5EyqFEVmohj8NCl
wgd_237_10,145.0,0.32,"{""Answer"": ""145"", ""Confidence"": ""0.32""}",,237.jpg,10,170.0,R_5EyqFEVmohj8NCl
wgd_242_10,165.0,0.31,"{""Answer"": ""165"", ""Confidence"": ""0.31""}",,242.jpg,10,171.0,R_5EyqFEVmohj8NCl
wgd_246_01,125.0,0.04,"{""Answer"": ""125"", ""Confidence"": ""0.04""}",,246.jpg,1,117.0,R_5EyqFEVmohj8NCl
wgd_248_05,120.0,0.33,"{""Answer"": ""120"", ""Confidence"": ""0.33""}",,248.jpg,5,121.0,R_5EyqFEVmohj8NCl
wgd_250_20,160.0,0.65,"{""Answer"": ""160"", ""Confidence"": ""0.65""}",,250.jpg,20,171.0,R_5EyqFEVmohj8NCl
wgd_251_05,170.0,0.24,"{""Answer"": ""170"", ""Confidence"": ""0.24""}",,251.jpg,5,174.0,R_5EyqFEVmohj8NCl
wgd_202_10,140.0,0.29,"{""Answer"": ""140"", ""Confidence"": ""0.29""}",,202.jpg,10,135.0,R_3WwqhhUiJ6xf0gT
wgd_204_01,130.0,0.04,"{""Answer"": ""130"", ""Confidence"": ""0.04""}",,204.jpg,1,138.0,R_3WwqhhUiJ6xf0gT
