question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight,bin_width,top_n
wgd_spd_1_02,209.0,0.14,"[{""min"": 208,""max"": 210,""confidence"":0.14},{""min"": 210,""max"": 212,""confidence"":0.13},{""min"": 206,""max"": 208,""confidence"":0.12},{""min"": 212,""max"": 214,""confidence"":0.11},{""min"": 204,""max"": 206,""confidence"":0.1},{""min"": 214,""max"": 216,""confidence"":0.09},{""min"": 202,""max"": 204,""confidence"":0.08},{""min"": 216,""max"": 218,""confidence"":0.07},{""min"": 200,""max"": 202,""confidence"":0.07},{""min"": 218,""max"": 220,""confidence"":0.05}]",,1.jpg,1,237.0,2,10
wgd_spd_1_10,185.0,0.24,"[{""min"":180,""max"":190,""confidence"":0.24},{""min"":190,""max"":200,""confidence"":0.22},{""min"":170,""max"":180,""confidence"":0.17},{""min"":200,""max"":210,""confidence"":0.14},{""min"":160,""max"":170,""confidence"":0.09},{""min"":210,""max"":220,""confidence"":0.06},{""min"":150,""max"":160,""confidence"":0.03},{""min"":220,""max"":230,""confidence"":0.02},{""min"":140,""max"":150,""confidence"":0.018},{""min"":230,""max"":240,""confidence"":0.012}]",,1.jpg,5,237.0,10,10
wgd_spd_1_20,230.0,0.34,"[{""min"": 220,""max"": 240,""confidence"": 0.34},{""min"": 240,""max"": 260,""confidence"": 0.28},{""min"": 200,""max"": 220,""confidence"": 0.18},{""min"": 260,""max"": 280,""confidence"": 0.12},{""min"": 180,""max"": 200,""confidence"": 0.08}]",,1.jpg,10,237.0,20,5
wgd_spd_1_40,240.0,0.44,"[{""min"": 220,""max"": 260,""confidence"": 0.44},{""min"": 180,""max"": 220,""confidence"": 0.31},{""min"": 260,""max"": 300,""confidence"": 0.15}]",,1.jpg,20,237.0,40,3
wgd_spd_2_02,173.0,0.16,"[{""min"": 172,""max"": 174,""confidence"":0.16},{""min"": 174,""max"": 176,""confidence"":0.15},{""min"": 170,""max"": 172,""confidence"":0.14},{""min"": 176,""max"": 178,""confidence"":0.12},{""min"": 168,""max"": 170,""confidence"":0.1},{""min"": 178,""max"": 180,""confidence"":0.09},{""min"": 166,""max"": 168,""confidence"":0.08},{""min"": 180,""max"": 182,""confidence"":0.06},{""min"": 164,""max"": 166,""confidence"":0.05},{""min"": 182,""max"": 184,""confidence"":0.05}]",,2.jpg,1,215.0,2,10
wgd_spd_2_10,175.0,0.22,"[{""min"":170,""max"":180,""confidence"":0.22},{""min"":180,""max"":190,""confidence"":0.2},{""min"":160,""max"":170,""confidence"":0.16},{""min"":190,""max"":200,""confidence"":0.13},{""min"":150,""max"":160,""confidence"":0.1},{""min"":200,""max"":210,""confidence"":0.07},{""min"":140,""max"":150,""confidence"":0.04},{""min"":210,""max"":220,""confidence"":0.03},{""min"":130,""max"":140,""confidence"":0.02},{""min"":220,""max"":230,""confidence"":0.01}]",,2.jpg,5,215.0,10,10
wgd_spd_2_20,160.0,0.3,"[{""min"":150,""max"":170,""confidence"":0.3},{""min"":170,""max"":190,""confidence"":0.28},{""min"":130,""max"":150,""confidence"":0.16},{""min"":190,""max"":210,""confidence"":0.14},{""min"":110,""max"":130,""confidence"":0.06}]",,2.jpg,10,215.0,20,5
wgd_spd_2_40,190.0,0.56,"[{""min"": 170,""max"": 210,""confidence"":0.56},{""min"": 130,""max"": 170,""confidence"":0.27},{""min"": 210,""max"": 250,""confidence"":0.17}]",,2.jpg,20,215.0,40,3
wgd_spd_3_02,146.0,0.14,"[{""min"":145,""max"":147,""confidence"":0.14},{""min"":143,""max"":145,""confidence"":0.13},{""min"":147,""max"":149,""confidence"":0.12},{""min"":141,""max"":143,""confidence"":0.11},{""min"":149,""max"":151,""confidence"":0.1},{""min"":139,""max"":141,""confidence"":0.09},{""min"":151,""max"":153,""confidence"":0.08},{""min"":137,""max"":139,""confidence"":0.07},{""min"":153,""max"":155,""confidence"":0.06},{""min"":135,""max"":137,""confidence"":0.05}]",,3.jpg,1,218.0,2,10
wgd_spd_3_10,165.0,0.22,"[{""min"":150,""max"":160,""confidence"":0.18},{""min"":160,""max"":170,""confidence"":0.22},{""min"":140,""max"":150,""confidence"":0.16},{""min"":170,""max"":180,""confidence"":0.14},{""min"":130,""max"":140,""confidence"":0.1},{""min"":180,""max"":190,""confidence"":0.08},{""min"":120,""max"":130,""confidence"":0.05},{""min"":190,""max"":200,""confidence"":0.04},{""min"":110,""max"":120,""confidence"":0.02},{""min"":200,""max"":210,""confidence"":0.01}]",,3.jpg,5,218.0,10,10
wgd_spd_3_20,150.0,0.34,"[{""min"": 140,""max"": 160,""confidence"": 0.34},{""min"": 160,""max"": 180,""confidence"": 0.3},{""min"": 120,""max"": 140,""confidence"": 0.16},{""min"": 180,""max"": 200,""confidence"": 0.12},{""min"": 100,""max"": 120,""confidence"": 0.08}]",,3.jpg,10,218.0,20,5
wgd_spd_3_40,170.0,0.52,"[{""min"": 150,""max"": 190,""confidence"": 0.52},{""min"": 110,""max"": 150,""confidence"": 0.28},{""min"": 190,""max"": 230,""confidence"": 0.12}]",,3.jpg,20,218.0,40,3
