question_id,Answer,Confidence,raw,error,min_age,sex,radius,bin_width,top_n
le_spd_0_male_2,81.0,0.039,"```json
[
  {
    ""min"": 78,
    ""max"": 80,
    ""confidence"": 0.038
  },
  {
    ""min"": 80,
    ""max"": 82,
    ""confidence"": 0.039
  },
  {
    ""min"": 82,
    ""max"": 84,
    ""confidence"": 0.039
  },
  {
    ""min"": 84,
    ""max"": 86,
    ""confidence"": 0.038
  },
  {
    ""min"": 86,
    ""max"": 88,
    ""confidence"": 0.035
  },
  {
    ""min"": 88,
    ""max"": 90,
    ""confidence"": 0.031
  },
  {
    ""min"": 76,
    ""max"": 78,
    ""confidence"": 0.036
  },
  {
    ""min"": 74,
    ""max"": 76,
    ""confidence"": 0.034
  },
  {
    ""min"": 90,
    ""max"": 92,
    ""confidence"": 0.026
  },
  {
    ""min"": 72,
    ""max"": 74,
    ""confidence"": 0.030
  }
]
```",,0,male,1,2,10
le_spd_0_male_10,75.0,0.28,"```json
[
  {
    ""min"": 70,
    ""max"": 80,
    ""confidence"": 0.28
  },
  {
    ""min"": 80,
    ""max"": 90,
    ""confidence"": 0.25
  },
  {
    ""min"": 60,
    ""max"": 70,
    ""confidence"": 0.18
  },
  {
    ""min"": 90,
    ""max"": 100,
    ""confidence"": 0.12
  },
  {
    ""min"": 50,
    ""max"": 60,
    ""confidence"": 0.08
  },
  {
    ""min"": 100,
    ""max"": 110,
    ""confidence"": 0.04
  },
  {
    ""min"": 40,
    ""max"": 50,
    ""confidence"": 0.02
  },
  {
    ""min"": 30,
    ""max"": 40,
    ""confidence"": 0.01
  },
  {
    ""min"": 20,
    ""max"": 30,
    ""confidence"": 0.005
  },
  {
    ""min"": 0,
    ""max"": 10,
    ""confidence"": 0.005
  }
]
```",,0,male,5,10,10
le_spd_0_male_20,80.0,0.4,"```json
[
  {
    ""min"": 70,
    ""max"": 90,
    ""confidence"": 0.40
  },
  {
    ""min"": 80,
    ""max"": 100,
    ""confidence"": 0.25
  },
  {
    ""min"": 60,
    ""max"": 80,
    ""confidence"": 0.20
  },
  {
    ""min"": 90,
    ""max"": 110,
    ""confidence"": 0.10
  },
  {
    ""min"": 50,
    ""max"": 70,
    ""confidence"": 0.05
  }
]
```",,0,male,10,20,5
le_spd_0_male_40,90.0,0.5,"```json
[
  {
    ""min"": 70,
    ""max"": 110,
    ""confidence"": 0.50
  },
  {
    ""min"": 60,
    ""max"": 100,
    ""confidence"": 0.30
  },
  {
    ""min"": 80,
    ""max"": 120,
    ""confidence"": 0.15
  }
]
```",,0,male,20,40,3
le_spd_1_male_2,79.0,0.0811,"```json
[
  {""min"": 78, ""max"": 80, ""confidence"": 0.0811},
  {""min"": 80, ""max"": 82, ""confidence"": 0.0772},
  {""min"": 76, ""max"": 78, ""confidence"": 0.0735},
  {""min"": 82, ""max"": 84, ""confidence"": 0.0664},
  {""min"": 74, ""max"": 76, ""confidence"": 0.0645},
  {""min"": 84, ""max"": 86, ""confidence"": 0.0543},
  {""min"": 72, ""max"": 74, ""confidence"": 0.0537},
  {""min"": 86, ""max"": 88, ""confidence"": 0.0416},
  {""min"": 70, ""max"": 72, ""confidence"": 0.0411},
  {""min"": 88, ""max"": 90, ""confidence"": 0.0305}
]
```",,1,male,1,2,10
le_spd_1_male_10,75.0,0.282,"```json
[
  {
    ""min"": 70,
    ""max"": 80,
    ""confidence"": 0.282
  },
  {
    ""min"": 80,
    ""max"": 90,
    ""confidence"": 0.275
  },
  {
    ""min"": 60,
    ""max"": 70,
    ""confidence"": 0.165
  },
  {
    ""min"": 90,
    ""max"": 100,
    ""confidence"": 0.115
  },
  {
    ""min"": 50,
    ""max"": 60,
    ""confidence"": 0.06
  },
  {
    ""min"": 40,
    ""max"": 50,
    ""confidence"": 0.03
  },
  {
    ""min"": 100,
    ""max"": 110,
    ""confidence"": 0.02
  },
  {
    ""min"": 30,
    ""max"": 40,
    ""confidence"": 0.015
  },
  {
    ""min"": 20,
    ""max"": 30,
    ""confidence"": 0.008
  },
  {
    ""min"": 10,
    ""max"": 20,
    ""confidence"": 0.005
  }
]
```",,1,male,5,10,10
le_spd_1_male_20,80.0,0.38,"```json
[
  {
    ""min"": 70,
    ""max"": 90,
    ""confidence"": 0.38
  },
  {
    ""min"": 80,
    ""max"": 100,
    ""confidence"": 0.25
  },
  {
    ""min"": 60,
    ""max"": 80,
    ""confidence"": 0.20
  },
  {
    ""min"": 90,
    ""max"": 110,
    ""confidence"": 0.10
  },
  {
    ""min"": 50,
    ""max"": 70,
    ""confidence"": 0.05
  }
]
```",,1,male,10,20,5
le_spd_1_male_40,90.0,0.5,"```json
[
  {
    ""min"": 70,
    ""max"": 110,
    ""confidence"": 0.50
  },
  {
    ""min"": 60,
    ""max"": 100,
    ""confidence"": 0.30
  },
  {
    ""min"": 80,
    ""max"": 120,
    ""confidence"": 0.15
  }
]
```",,1,male,20,40,3
le_spd_2_male_2,79.0,0.082,"```json
[
  {
    ""min"": 78,
    ""max"": 80,
    ""confidence"": 0.082
  },
  {
    ""min"": 76,
    ""max"": 78,
    ""confidence"": 0.078
  },
  {
    ""min"": 80,
    ""max"": 82,
    ""confidence"": 0.076
  },
  {
    ""min"": 74,
    ""max"": 76,
    ""confidence"": 0.073
  },
  {
    ""min"": 82,
    ""max"": 84,
    ""confidence"": 0.069
  },
  {
    ""min"": 72,
    ""max"": 74,
    ""confidence"": 0.066
  },
  {
    ""min"": 84,
    ""max"": 86,
    ""confidence"": 0.061
  },
  {
    ""min"": 70,
    ""max"": 72,
    ""confidence"": 0.057
  },
  {
    ""min"": 86,
    ""max"": 88,
    ""confidence"": 0.053
  },
  {
    ""min"": 68,
    ""max"": 70,
    ""confidence"": 0.048
  }
]
```",,2,male,1,2,10
le_spd_2_male_10,80.0,0.35,"```json
[
  {
    ""min"": 75,
    ""max"": 85,
    ""confidence"": 0.35
  },
  {
    ""min"": 65,
    ""max"": 75,
    ""confidence"": 0.2
  },
  {
    ""min"": 85,
    ""max"": 95,
    ""confidence"": 0.15
  },
  {
    ""min"": 55,
    ""max"": 65,
    ""confidence"": 0.1
  },
  {
    ""min"": 45,
    ""max"": 55,
    ""confidence"": 0.05
  },
  {
    ""min"": 95,
    ""max"": 105,
    ""confidence"": 0.04
  },
  {
    ""min"": 35,
    ""max"": 45,
    ""confidence"": 0.03
  },
  {
    ""min"": 25,
    ""max"": 35,
    ""confidence"": 0.02
  },
  {
    ""min"": 105,
    ""max"": 115,
    ""confidence"": 0.007
  },
  {
    ""min"": 15,
    ""max"": 25,
    ""confidence"": 0.003
  }
]
```",,2,male,5,10,10
