question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight
wgd_1_01,210,0.15,"```json
{""Answer"": ""210"", ""Confidence"": ""0.15""}
```",,1.jpg,1,237.0
wgd_1_02,215,0.15,"```json
{""Answer"": ""215"", ""Confidence"": ""0.15""}
```",,1.jpg,2,237.0
wgd_1_03,215,0.25,"```json
{""Answer"": ""215"", ""Confidence"": ""0.25""}
```",,1.jpg,3,237.0
wgd_1_04,215,0.25,"```json
{""Answer"": ""215"", ""Confidence"": ""0.25""}
```",,1.jpg,4,237.0
wgd_1_05,215,0.25,"```json
{""Answer"": ""215"", ""Confidence"": ""0.25""}
```",,1.jpg,5,237.0
wgd_1_06,215,0.25,"```json
{""Answer"": ""215"", ""Confidence"": ""0.25""}
```",,1.jpg,6,237.0
wgd_1_07,210,0.35,"```json
{""Answer"": ""210"", ""Confidence"": ""0.35""}
```",,1.jpg,7,237.0
wgd_1_08,210,0.35,"```json
{""Answer"": ""210"", ""Confidence"": ""0.35""}
```",,1.jpg,8,237.0
wgd_1_09,215,0.25,"```json
{""Answer"": ""215"", ""Confidence"": ""0.25""}
```",,1.jpg,9,237.0
wgd_1_10,210,0.35,"```json
{""Answer"": ""210"", ""Confidence"": ""0.35""}
```",,1.jpg,10,237.0
wgd_1_11,215,0.25,"```json
{""Answer"": ""215"", ""Confidence"": ""0.25""}
```",,1.jpg,11,237.0
wgd_1_12,215,0.35,"```json
{""Answer"": ""215"", ""Confidence"": ""0.35""}
```",,1.jpg,12,237.0
wgd_1_13,220,0.35,"```json
{""Answer"": ""220"", ""Confidence"": ""0.35""}
```",,1.jpg,13,237.0
wgd_1_14,220 lbs,0.35,"```json
{""Answer"": ""220 lbs"", ""Confidence"": ""0.35""}
```",,1.jpg,14,237.0
wgd_1_15,215 lbs,0.35,"```json
{""Answer"": ""215 lbs"", ""Confidence"": ""0.35""}
```",,1.jpg,15,237.0
wgd_1_16,210,0.25,"```json
{""Answer"": ""210"", ""Confidence"": ""0.25""}
```",,1.jpg,16,237.0
wgd_1_17,210,0.35,"```json
{""Answer"": ""210"", ""Confidence"": ""0.35""}
```",,1.jpg,17,237.0
wgd_1_18,210,0.35,"```json
{""Answer"": ""210"", ""Confidence"": ""0.35""}
```",,1.jpg,18,237.0
wgd_1_19,210,0.35,"```json
{""Answer"": ""210"", ""Confidence"": ""0.35""}
```",,1.jpg,19,237.0
wgd_1_20,215,0.35,"```json
{""Answer"": ""215"", ""Confidence"": ""0.35""}
```",,1.jpg,20,237.0
wgd_2_01,180,0.15,"```json
{""Answer"": ""180"", ""Confidence"": ""0.15""}
```",,2.jpg,1,215.0
wgd_2_02,185 lbs,0.15,"```json
{""Answer"": ""185 lbs"", ""Confidence"": ""0.15""}
```",,2.jpg,2,215.0
wgd_2_03,185,0.15,"```json
{""Answer"": ""185"", ""Confidence"": ""0.15""}
```",,2.jpg,3,215.0
wgd_2_04,185,0.25,"```json
{""Answer"": ""185"", ""Confidence"": ""0.25""}
```",,2.jpg,4,215.0
wgd_2_05,185,0.25,"```json
{""Answer"": ""185"", ""Confidence"": ""0.25""}
```",,2.jpg,5,215.0
wgd_2_06,185,0.25,"```json
{""Answer"": ""185"", ""Confidence"": ""0.25""}
```",,2.jpg,6,215.0
wgd_2_07,185,0.35,"```json
{""Answer"": ""185"", ""Confidence"": ""0.35""}
```",,2.jpg,7,215.0
wgd_2_08,185,0.25,"```json
{""Answer"": ""185"", ""Confidence"": ""0.25""}
```",,2.jpg,8,215.0
wgd_2_09,185,0.35,"```json
{""Answer"": ""185"", ""Confidence"": ""0.35""}
```",,2.jpg,9,215.0
wgd_2_10,185,0.35,"```json
{""Answer"": ""185"", ""Confidence"": ""0.35""}
```",,2.jpg,10,215.0
wgd_2_11,185 lbs,0.35,"```json
{""Answer"": ""185 lbs"", ""Confidence"": ""0.35""}
```",,2.jpg,11,215.0
wgd_2_12,185 lbs,0.35,"```json
{""Answer"": ""185 lbs"", ""Confidence"": ""0.35""}
```",,2.jpg,12,215.0
wgd_2_13,185,0.35,"```json
{""Answer"": ""185"", ""Confidence"": ""0.35""}
```",,2.jpg,13,215.0
wgd_2_14,185,0.35,"```json
{""Answer"": ""185"", ""Confidence"": ""0.35""}
```",,2.jpg,14,215.0
wgd_2_15,185 lbs,0.35,"```json
{""Answer"": ""185 lbs"", ""Confidence"": ""0.35""}
```",,2.jpg,15,215.0
wgd_2_16,185,0.35,"```json
{""Answer"": ""185"", ""Confidence"": ""0.35""}
```",,2.jpg,16,215.0
wgd_2_17,185,0.35,"```json
{""Answer"": ""185"", ""Confidence"": ""0.35""}
```",,2.jpg,17,215.0
wgd_2_18,185,0.35,"```json
{""Answer"": ""185"", ""Confidence"": ""0.35""}
```",,2.jpg,18,215.0
wgd_2_19,185 lbs,0.35,"```json
{""Answer"": ""185 lbs"", ""Confidence"": ""0.35""}
```",,2.jpg,19,215.0
wgd_2_20,185,0.35,"```json
{""Answer"": ""185"", ""Confidence"": ""0.35""}
```",,2.jpg,20,215.0
wgd_3_01,165,0.15,"```json
{""Answer"": ""165"", ""Confidence"": ""0.15""}
```",,3.jpg,1,218.0
wgd_3_02,165,0.15,"```json
{""Answer"": ""165"", ""Confidence"": ""0.15""}
```",,3.jpg,2,218.0
wgd_3_03,165 lbs,0.25,"```json
{""Answer"": ""165 lbs"", ""Confidence"": ""0.25""}
```",,3.jpg,3,218.0
wgd_3_04,170,0.25,"```json
{""Answer"": ""170"", ""Confidence"": ""0.25""}
```",,3.jpg,4,218.0
wgd_3_05,165,0.25,"```json
{""Answer"": ""165"", ""Confidence"": ""0.25""}
```",,3.jpg,5,218.0
wgd_3_06,165,0.25,"```json
{""Answer"": ""165"", ""Confidence"": ""0.25""}
```",,3.jpg,6,218.0
wgd_3_07,160,0.25,"```json
{""Answer"": ""160"", ""Confidence"": ""0.25""}
```",,3.jpg,7,218.0
wgd_3_08,165,0.25,"```json
{""Answer"": ""165"", ""Confidence"": ""0.25""}
```",,3.jpg,8,218.0
wgd_3_09,165 lbs,0.35,"```json
{""Answer"": ""165 lbs"", ""Confidence"": ""0.35""}
```",,3.jpg,9,218.0
wgd_3_10,160,0.25,"```json
{""Answer"": ""160"", ""Confidence"": ""0.25""}
```",,3.jpg,10,218.0
wgd_3_11,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,3.jpg,11,218.0
wgd_3_12,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,3.jpg,12,218.0
wgd_3_13,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,3.jpg,13,218.0
wgd_3_14,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,3.jpg,14,218.0
wgd_3_15,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,3.jpg,15,218.0
wgd_3_16,170,0.35,"```json
{""Answer"": ""170"", ""Confidence"": ""0.35""}
```",,3.jpg,16,218.0
wgd_3_17,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,3.jpg,17,218.0
wgd_3_18,165 lbs,0.35,"```json
{""Answer"": ""165 lbs"", ""Confidence"": ""0.35""}
```",,3.jpg,18,218.0
wgd_3_19,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,3.jpg,19,218.0
wgd_3_20,165,0.35,"```json
{""Answer"": ""165"", ""Confidence"": ""0.35""}
```",,3.jpg,20,218.0
wgd_4_01,115,0.15,"```json
{""Answer"": ""115"", ""Confidence"": ""0.15""}
```",,4.jpg,1,95.0
wgd_4_02,115,0.15,"```json
{""Answer"": ""115"", ""Confidence"": ""0.15""}
```",,4.jpg,2,95.0
wgd_4_03,105,0.15,"```json
{""Answer"": ""105"", ""Confidence"": ""0.15""}
```",,4.jpg,3,95.0
wgd_4_04,105,0.15,"```json
{""Answer"": ""105"", ""Confidence"": ""0.15""}
```",,4.jpg,4,95.0
wgd_4_05,110,0.25,"```json
{""Answer"": ""110"", ""Confidence"": ""0.25""}
```",,4.jpg,5,95.0
wgd_4_06,115,0.25,"```json
{""Answer"": ""115"", ""Confidence"": ""0.25""}
```",,4.jpg,6,95.0
wgd_4_07,105 lbs,0.25,"```json
{""Answer"": ""105 lbs"", ""Confidence"": ""0.25""}
```",,4.jpg,7,95.0
wgd_4_08,110,0.25,"```json
{""Answer"": ""110"", ""Confidence"": ""0.25""}
```",,4.jpg,8,95.0
wgd_4_09,105,0.25,"```json
{""Answer"": ""105"", ""Confidence"": ""0.25""}
```",,4.jpg,9,95.0
wgd_4_10,110,0.25,"```json
{""Answer"": ""110"", ""Confidence"": ""0.25""}
```",,4.jpg,10,95.0
wgd_4_11,105 lbs,0.25,"```json
{""Answer"": ""105 lbs"", ""Confidence"": ""0.25""}
```",,4.jpg,11,95.0
wgd_4_12,115,0.25,"```json
{""Answer"": ""115"", ""Confidence"": ""0.25""}
```",,4.jpg,12,95.0
wgd_4_13,115,0.25,"```json
{""Answer"": ""115"", ""Confidence"": ""0.25""}
```",,4.jpg,13,95.0
wgd_4_14,110,0.35,"```json
{""Answer"": ""110"", ""Confidence"": ""0.35""}
```",,4.jpg,14,95.0
wgd_4_15,105 lbs,0.35,"```json
{""Answer"": ""105 lbs"", ""Confidence"": ""0.35""}
```",,4.jpg,15,95.0
wgd_4_16,105,0.35,"```json
{""Answer"": ""105"", ""Confidence"": ""0.35""}
```",,4.jpg,16,95.0
wgd_4_17,110,0.25,"```json
{""Answer"": ""110"", ""Confidence"": ""0.25""}
```",,4.jpg,17,95.0
wgd_4_18,115,0.25,"```json
{""Answer"": ""115"", ""Confidence"": ""0.25""}
```",,4.jpg,18,95.0
wgd_4_19,115,0.25,"```json
{""Answer"": ""115"", ""Confidence"": ""0.25""}
```",,4.jpg,19,95.0
