question_id,Answer,Confidence,raw,error,tok_in,tok_out,min_age,sex,radius,bin_width,top_n
le_spd_0_male_2,77.0,0.14,"[{""min"": 76,""max"": 78,""confidence"": 0.14},{""min"": 78,""max"": 80,""confidence"": 0.13},{""min"": 74,""max"": 76,""confidence"": 0.12},{""min"": 80,""max"": 82,""confidence"": 0.11},{""min"": 72,""max"": 74,""confidence"": 0.1},{""min"": 82,""max"": 84,""confidence"": 0.09},{""min"": 70,""max"": 72,""confidence"": 0.08},{""min"": 84,""max"": 86,""confidence"": 0.07},{""min"": 68,""max"": 70,""confidence"": 0.06},{""min"": 86,""max"": 88,""confidence"": 0.05}]",,124,182,0,male,1,2,10
le_spd_0_male_10,85.0,0.34,"[{""min"":80,""max"":90,""confidence"":0.34},{""min"":70,""max"":80,""confidence"":0.27},{""min"":90,""max"":100,""confidence"":0.22},{""min"":60,""max"":70,""confidence"":0.09},{""min"":100,""max"":110,""confidence"":0.04},{""min"":50,""max"":60,""confidence"":0.02},{""min"":40,""max"":50,""confidence"":0.01},{""min"":30,""max"":40,""confidence"":0.005},{""min"":20,""max"":30,""confidence"":0.003},{""min"":110,""max"":120,""confidence"":0.002}]",,124,152,0,male,5,10,10
le_spd_0_male_20,90.0,0.42,"[{""min"":80,""max"":100,""confidence"":0.42},{""min"":60,""max"":80,""confidence"":0.34},{""min"":100,""max"":120,""confidence"":0.12},{""min"":40,""max"":60,""confidence"":0.08},{""min"":20,""max"":40,""confidence"":0.04}]",,124,82,0,male,10,20,5
le_spd_0_male_40,100.0,0.55,"[{""min"":80,""max"":120,""confidence"":0.55},{""min"":40,""max"":80,""confidence"":0.33},{""min"":0,""max"":40,""confidence"":0.12}]",,124,54,0,male,20,40,3
le_spd_1_male_2,81.0,0.12,"[{""min"": 80,""max"": 82,""confidence"": 0.12},{""min"": 82,""max"": 84,""confidence"": 0.115},{""min"": 78,""max"": 80,""confidence"": 0.11},{""min"": 84,""max"": 86,""confidence"": 0.105},{""min"": 76,""max"": 78,""confidence"": 0.095},{""min"": 86,""max"": 88,""confidence"": 0.09},{""min"": 74,""max"": 76,""confidence"": 0.085},{""min"": 88,""max"": 90,""confidence"": 0.075},{""min"": 72,""max"": 74,""confidence"": 0.065},{""min"": 90,""max"": 92,""confidence"": 0.06}]",,124,182,1,male,1,2,10
le_spd_1_male_10,85.0,0.32,"[{""min"": 80,""max"": 90,""confidence"": 0.32},{""min"": 70,""max"": 80,""confidence"": 0.24},{""min"": 90,""max"": 100,""confidence"": 0.18},{""min"": 60,""max"": 70,""confidence"": 0.12},{""min"": 50,""max"": 60,""confidence"": 0.05},{""min"": 100,""max"": 110,""confidence"": 0.04},{""min"": 40,""max"": 50,""confidence"": 0.025},{""min"": 30,""max"": 40,""confidence"": 0.015},{""min"": 20,""max"": 30,""confidence"": 0.005},{""min"": 10,""max"": 20,""confidence"": 0.005}]",,124,182,1,male,5,10,10
le_spd_1_male_20,90.0,0.42,"[{""min"": 80,""max"": 100,""confidence"": 0.42},{""min"": 60,""max"": 80,""confidence"": 0.33},{""min"": 100,""max"": 120,""confidence"": 0.14},{""min"": 40,""max"": 60,""confidence"": 0.08},{""min"": 20,""max"": 40,""confidence"": 0.03}]",,124,97,1,male,10,20,5
le_spd_1_male_40,90.0,0.78,"[{""min"": 70,""max"": 110,""confidence"": 0.78},{""min"": 30,""max"": 70,""confidence"": 0.2},{""min"": 110,""max"": 150,""confidence"": 0.02}]",,124,63,1,male,20,40,3
le_spd_2_male_2,79.0,0.092,"[{""min"": 78,""max"": 80,""confidence"": 0.092},{""min"": 80,""max"": 82,""confidence"": 0.089},{""min"": 76,""max"": 78,""confidence"": 0.086},{""min"": 82,""max"": 84,""confidence"": 0.083},{""min"": 74,""max"": 76,""confidence"": 0.08},{""min"": 84,""max"": 86,""confidence"": 0.076},{""min"": 72,""max"": 74,""confidence"": 0.073},{""min"": 86,""max"": 88,""confidence"": 0.069},{""min"": 70,""max"": 72,""confidence"": 0.064},{""min"": 88,""max"": 90,""confidence"": 0.059}]",,124,182,2,male,1,2,10
le_spd_2_male_10,85.0,0.38,"[{""min"":80,""max"":90,""confidence"":0.38},{""min"":70,""max"":80,""confidence"":0.27},{""min"":90,""max"":100,""confidence"":0.18},{""min"":60,""max"":70,""confidence"":0.09},{""min"":100,""max"":110,""confidence"":0.04},{""min"":50,""max"":60,""confidence"":0.015},{""min"":40,""max"":50,""confidence"":0.006},{""min"":30,""max"":40,""confidence"":0.003},{""min"":20,""max"":30,""confidence"":0.0015},{""min"":110,""max"":120,""confidence"":0.0005}]",,124,148,2,male,5,10,10
le_spd_2_male_20,70.0,0.46,"[{""min"": 60,""max"": 80,""confidence"": 0.46},{""min"": 80,""max"": 100,""confidence"": 0.34},{""min"": 40,""max"": 60,""confidence"": 0.1},{""min"": 100,""max"": 120,""confidence"": 0.06},{""min"": 20,""max"": 40,""confidence"": 0.04}]",,124,97,2,male,10,20,5
le_spd_2_male_40,90.0,0.78,"[{""min"": 70,""max"": 110,""confidence"": 0.78},{""min"": 30,""max"": 70,""confidence"": 0.19},{""min"": 110,""max"": 150,""confidence"": 0.03}]",,124,63,2,male,20,40,3
le_spd_3_male_2,77.0,0.13,"[{""min"": 76,""max"": 78,""confidence"": 0.13},{""min"": 78,""max"": 80,""confidence"": 0.12},{""min"": 74,""max"": 76,""confidence"": 0.11},{""min"": 80,""max"": 82,""confidence"": 0.1},{""min"": 82,""max"": 84,""confidence"": 0.09},{""min"": 72,""max"": 74,""confidence"": 0.08},{""min"": 84,""max"": 86,""confidence"": 0.08},{""min"": 70,""max"": 72,""confidence"": 0.07},{""min"": 86,""max"": 88,""confidence"": 0.06},{""min"": 68,""max"": 70,""confidence"": 0.05}]",,124,182,3,male,1,2,10
