question_id,Answer,Confidence,raw,error,true_lifespan_x,min_age_x,sex_x,radius_x,best_answer_x,MAS_x,true_lifespan_y,min_age_y,sex_y,radius_y,best_answer_y,MAS_y
0,76.0,0.0,"{""Answer"": ""76"", ""Confidence"": ""0""}",,74.74,0.0,male,1.0,82.65,0.064814,74.74,0,male,1,82.65,0.064814
1,74.0,0.25,"{""Answer"": ""74"", ""Confidence"": ""0.25""}",,74.74,0.0,male,2.0,82.6,0.129128,74.74,0,male,2,82.6,0.129128
2,76.0,0.25,"{""Answer"": ""76"", ""Confidence"": ""0.25""}",,74.74,0.0,male,3.0,82.53,0.192455,74.74,0,male,3,82.53,0.192455
3,74.0,0.5,"{""Answer"": ""74"", ""Confidence"": ""0.5""}",,74.74,0.0,male,4.0,82.43,0.254335,74.74,0,male,4,82.43,0.254335
4,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,74.74,0.0,male,5.0,82.3,0.314349,74.74,0,male,5,82.3,0.314349
5,75.0,0.5,"{""Answer"": ""75"", ""Confidence"": ""0.5""}",,74.74,0.0,male,6.0,82.14,0.372125,74.74,0,male,6,82.14,0.372125
6,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,74.74,0.0,male,7.0,81.95,0.42735,74.74,0,male,7,81.95,0.42735
7,74.0,0.5,"{""Answer"": ""74"", ""Confidence"": ""0.5""}",,74.74,0.0,male,8.0,81.74,0.479768,74.74,0,male,8,81.74,0.479768
8,74.0,0.5,"{""Answer"": ""74"", ""Confidence"": ""0.5""}",,74.74,0.0,male,9.0,81.5,0.529189,74.74,0,male,9,81.5,0.529189
9,74.0,0.5,"{""Answer"": ""74"", ""Confidence"": ""0.5""}",,74.74,0.0,male,10.0,81.23,0.575483,74.74,0,male,10,81.23,0.575483
10,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,74.74,0.0,male,11.0,80.94,0.61858,74.74,0,male,11,80.94,0.61858
11,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,74.74,0.0,male,12.0,80.62,0.658465,74.74,0,male,12,80.62,0.658465
12,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,74.74,0.0,male,13.0,80.28,0.695169,74.74,0,male,13,80.28,0.695169
13,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,74.74,0.0,male,14.0,79.92,0.728767,74.74,0,male,14,79.92,0.728767
14,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,74.74,0.0,male,15.0,79.53,0.759368,74.74,0,male,15,79.53,0.759368
15,76.0,0.9545,"{""Answer"": ""76"", ""Confidence"": ""0.9545""}",,74.74,0.0,male,16.0,79.12,0.787109,74.74,0,male,16,79.12,0.787109
16,74.0,0.954,"{""Answer"": ""74"", ""Confidence"": ""0.954""}",,74.74,0.0,male,17.0,78.69,0.812145,74.74,0,male,17,78.69,0.812145
17,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,74.74,0.0,male,18.0,78.25,0.834648,74.74,0,male,18,78.25,0.834648
18,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,74.74,0.0,male,19.0,77.78,0.854794,74.74,0,male,19,77.78,0.854794
19,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,74.74,0.0,male,20.0,77.3,0.872767,74.74,0,male,20,77.3,0.872767
20,75.0,0.05,"{""Answer"": ""75"", ""Confidence"": ""0.05""}",,75.2,1.0,male,1.0,82.65,0.064819,75.2,1,male,1,82.65,0.064819
21,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,2.0,82.6,0.129136,75.2,1,male,2,82.6,0.129136
22,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,3.0,82.53,0.192467,75.2,1,male,3,82.53,0.192467
23,75.0,0.75,"{""Answer"": ""75"", ""Confidence"": ""0.75""}",,75.2,1.0,male,4.0,82.43,0.254351,75.2,1,male,4,82.43,0.254351
24,75.0,0.8,"{""Answer"": ""75"", ""Confidence"": ""0.8""}",,75.2,1.0,male,5.0,82.3,0.314369,75.2,1,male,5,82.3,0.314369
25,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,6.0,82.14,0.372149,75.2,1,male,6,82.14,0.372149
26,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,7.0,81.95,0.427377,75.2,1,male,7,81.95,0.427377
27,75.0,0.73,"{""Answer"": ""75"", ""Confidence"": ""0.73""}",,75.2,1.0,male,8.0,81.74,0.479799,75.2,1,male,8,81.74,0.479799
28,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,9.0,81.5,0.529223,75.2,1,male,9,81.5,0.529223
29,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,10.0,81.23,0.57552,75.2,1,male,10,81.23,0.57552
30,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,11.0,80.94,0.618619,75.2,1,male,11,80.94,0.618619
31,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,12.0,80.62,0.658506,75.2,1,male,12,80.62,0.658506
32,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,13.0,80.28,0.695212,75.2,1,male,13,80.28,0.695212
33,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,14.0,79.92,0.728813,75.2,1,male,14,79.92,0.728813
34,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,15.0,79.53,0.759416,75.2,1,male,15,79.53,0.759416
35,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,16.0,79.12,0.787159,75.2,1,male,16,79.12,0.787159
36,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,17.0,78.69,0.812197,75.2,1,male,17,78.69,0.812197
37,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,18.0,78.25,0.8347,75.2,1,male,18,78.25,0.8347
38,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.2,1.0,male,19.0,77.78,0.854848,75.2,1,male,19,77.78,0.854848
39,75.0,0.75,"{""Answer"": ""75"", ""Confidence"": ""0.75""}",,75.2,1.0,male,20.0,77.3,0.872823,75.2,1,male,20,77.3,0.872823
40,75.5,0.95,"{""Answer"": ""75.5"", ""Confidence"": ""0.95""}",,75.23,2.0,male,1.0,82.65,0.064823,75.23,2,male,1,82.65,0.064823
41,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.23,2.0,male,2.0,82.6,0.129145,75.23,2,male,2,82.6,0.129145
42,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.23,2.0,male,3.0,82.53,0.19248,75.23,2,male,3,82.53,0.19248
43,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,4.0,82.43,0.254369,75.23,2,male,4,82.43,0.254369
44,75.0,0.75,"{""Answer"": ""75"", ""Confidence"": ""0.75""}",,75.23,2.0,male,5.0,82.3,0.31439,75.23,2,male,5,82.3,0.31439
45,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,6.0,82.14,0.372175,75.23,2,male,6,82.14,0.372175
46,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,7.0,81.95,0.427406,75.23,2,male,7,81.95,0.427406
47,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,8.0,81.74,0.479832,75.23,2,male,8,81.74,0.479832
48,74.0,0.95,"{""Answer"": ""74"", ""Confidence"": ""0.95""}",,75.23,2.0,male,9.0,81.5,0.529259,75.23,2,male,9,81.5,0.529259
49,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,10.0,81.23,0.575559,75.23,2,male,10,81.23,0.575559
50,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,11.0,80.94,0.618662,75.23,2,male,11,80.94,0.618662
51,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,12.0,80.62,0.658552,75.23,2,male,12,80.62,0.658552
52,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,13.0,80.28,0.69526,75.23,2,male,13,80.28,0.69526
53,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,14.0,79.92,0.728863,75.23,2,male,14,79.92,0.728863
54,75.0,0.75,"{""Answer"": ""75"", ""Confidence"": ""0.75""}",,75.23,2.0,male,15.0,79.53,0.759469,75.23,2,male,15,79.53,0.759469
55,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.23,2.0,male,16.0,79.12,0.787213,75.23,2,male,16,79.12,0.787213
56,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,17.0,78.69,0.812253,75.23,2,male,17,78.69,0.812253
57,76.0,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,75.23,2.0,male,18.0,78.25,0.834758,75.23,2,male,18,78.25,0.834758
58,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,19.0,77.78,0.854907,75.23,2,male,19,77.78,0.854907
59,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.23,2.0,male,20.0,77.3,0.872883,75.23,2,male,20,77.3,0.872883
60,75.0,0.05,"{""Answer"": ""75"", ""Confidence"": ""0.05""}",,75.25,3.0,male,1.0,82.65,0.064828,75.25,3,male,1,82.65,0.064828
61,74.62,0.0,"{""Answer"": ""74.62"", ""Confidence"": ""0""}",,75.25,3.0,male,2.0,82.6,0.129155,75.25,3,male,2,82.6,0.129155
62,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,3.0,82.53,0.192495,75.25,3,male,3,82.53,0.192495
63,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,4.0,82.43,0.254388,75.25,3,male,4,82.43,0.254388
64,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,5.0,82.3,0.314414,75.25,3,male,5,82.3,0.314414
65,75.0,0.75,"{""Answer"": ""75"", ""Confidence"": ""0.75""}",,75.25,3.0,male,6.0,82.14,0.372203,75.25,3,male,6,82.14,0.372203
66,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,7.0,81.95,0.427438,75.25,3,male,7,81.95,0.427438
67,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,8.0,81.74,0.479868,75.25,3,male,8,81.74,0.479868
68,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,9.0,81.5,0.529299,75.25,3,male,9,81.5,0.529299
69,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,10.0,81.23,0.575603,75.25,3,male,10,81.23,0.575603
70,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,11.0,80.94,0.618709,75.25,3,male,11,80.94,0.618709
71,75.0,0.68,"{""Answer"": ""75"", ""Confidence"": ""0.68""}",,75.25,3.0,male,12.0,80.62,0.658601,75.25,3,male,12,80.62,0.658601
72,75.0,0.95,"{""Answer"": ""75"", ""Confidence"": ""0.95""}",,75.25,3.0,male,13.0,80.28,0.695313,75.25,3,male,13,80.28,0.695313
