domain,model,n,errors,n_scored,mean_brier,results_csv
LifeEval,google/gemini-2.5-flash,4040,52,3988,0.1340096795625712,results_reasoning/LifeEval/google_gemini-2.5-flash.csv
LifeEval,openai/gpt-5.4-mini,4040,0,4040,0.029123477059335164,results_reasoning/LifeEval/openai_gpt-5.4-mini.csv
LifeEval,anthropic/claude-haiku-4.5,4040,0,4040,0.06127948436064262,results_reasoning/LifeEval/anthropic_claude-haiku-4.5.csv
LifeEval,meta-llama/llama-4-maverick,4040,0,4040,0.043188416176243284,results_reasoning/LifeEval/meta-llama_llama-4-maverick.csv
WGD,google/gemini-2.5-flash,4620,0,4620,0.30838664502164503,results_reasoning/WGD/google_gemini-2.5-flash.csv
WGD,openai/gpt-5.4-mini,4620,0,4616,0.21776980069324092,results_reasoning/WGD/openai_gpt-5.4-mini.csv
WGD,anthropic/claude-haiku-4.5,4620,0,4620,0.23326114718614718,results_reasoning/WGD/anthropic_claude-haiku-4.5.csv
WGD,meta-llama/llama-4-maverick,4620,0,4620,0.25730127705627703,results_reasoning/WGD/meta-llama_llama-4-maverick.csv
MedEval,google/gemini-2.5-flash,768,1,767,0.5776495394798716,results_reasoning/MedEval/google_gemini-2.5-flash.csv
MedEval,openai/gpt-5.4-mini,768,0,768,0.5814647649017447,results_reasoning/MedEval/openai_gpt-5.4-mini.csv
MedEval,anthropic/claude-haiku-4.5,768,0,768,0.4618957064983355,results_reasoning/MedEval/anthropic_claude-haiku-4.5.csv
MedEval,meta-llama/llama-4-maverick,768,0,768,0.44640896390394885,results_reasoning/MedEval/meta-llama_llama-4-maverick.csv
LifeEval_SPD,google/gemini-2.5-flash,808,0,808,0.03234155530950289,results_reasoning/LifeEval_SPD/google_gemini-2.5-flash.csv
LifeEval_SPD,openai/gpt-5.4-mini,808,0,808,0.01772475283092743,results_reasoning/LifeEval_SPD/openai_gpt-5.4-mini.csv
LifeEval_SPD,anthropic/claude-haiku-4.5,808,0,808,0.05131459343243386,results_reasoning/LifeEval_SPD/anthropic_claude-haiku-4.5.csv
LifeEval_SPD,meta-llama/llama-4-maverick,808,0,808,0.07144824884169713,results_reasoning/LifeEval_SPD/meta-llama_llama-4-maverick.csv
WGD_SPD,google/gemini-2.5-flash,928,0,928,0.1747832974137931,results_reasoning/WGD_SPD/google_gemini-2.5-flash.csv
WGD_SPD,openai/gpt-5.4-mini,928,0,928,0.1854737068965517,results_reasoning/WGD_SPD/openai_gpt-5.4-mini.csv
WGD_SPD,anthropic/claude-haiku-4.5,928,0,928,0.18662068965517242,results_reasoning/WGD_SPD/anthropic_claude-haiku-4.5.csv
WGD_SPD,meta-llama/llama-4-maverick,928,0,928,0.17971670258620687,results_reasoning/WGD_SPD/meta-llama_llama-4-maverick.csv
MedEval_SPD,google/gemini-2.5-flash,768,0,768,0.22625846637589175,results_reasoning/MedEval_SPD/google_gemini-2.5-flash.csv
MedEval_SPD,openai/gpt-5.4-mini,768,0,768,0.26603151618198345,results_reasoning/MedEval_SPD/openai_gpt-5.4-mini.csv
MedEval_SPD,anthropic/claude-haiku-4.5,768,0,768,0.16702097489598486,results_reasoning/MedEval_SPD/anthropic_claude-haiku-4.5.csv
MedEval_SPD,meta-llama/llama-4-maverick,768,0,768,0.15684155117964352,results_reasoning/MedEval_SPD/meta-llama_llama-4-maverick.csv
