question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight
wgd_1_01,215.0,0.02,"{""Answer"":""215"",""Confidence"":""0.02""}",,1.jpg,1,237.0
wgd_1_02,215.0,0.18,"{""Answer"":""215"",""Confidence"":""0.18""}",,1.jpg,2,237.0
wgd_1_03,210.0,0.18,"{""Answer"":""210"",""Confidence"":""0.18""}",,1.jpg,3,237.0
wgd_1_04,225.0,0.31,"{""Answer"":""225"",""Confidence"":""0.31""}",,1.jpg,4,237.0
wgd_1_05,215.0,0.32,"{""Answer"":""215"",""Confidence"":""0.32""}",,1.jpg,5,237.0
wgd_1_06,235.0,0.34,"{""Answer"":""235"",""Confidence"":""0.34""}",,1.jpg,6,237.0
wgd_1_07,215.0,0.28,"{""Answer"":""215"",""Confidence"":""0.28""}",,1.jpg,7,237.0
wgd_1_08,215.0,0.34,"{""Answer"":""215"",""Confidence"":""0.34""}",,1.jpg,8,237.0
wgd_1_09,215.0,0.62,"{""Answer"":""215"",""Confidence"":""0.62""}",,1.jpg,9,237.0
wgd_1_10,235.0,0.58,"{""Answer"":""235"",""Confidence"":""0.58""}",,1.jpg,10,237.0
wgd_1_11,230.0,0.42,"{""Answer"":""230"",""Confidence"":""0.42""}",,1.jpg,11,237.0
wgd_1_12,215.0,0.48,"{""Answer"":""215"",""Confidence"":""0.48""}",,1.jpg,12,237.0
wgd_1_13,205.0,0.63,"{""Answer"":""205"",""Confidence"":""0.63""}",,1.jpg,13,237.0
wgd_1_14,235.0,0.54,"{""Answer"":""235"",""Confidence"":""0.54""}",,1.jpg,14,237.0
wgd_1_15,210.0,0.61,"{""Answer"":""210"",""Confidence"":""0.61""}",,1.jpg,15,237.0
wgd_1_16,245.0,0.41,"{""Answer"":""245"",""Confidence"":""0.41""}",,1.jpg,16,237.0
wgd_1_17,215.0,0.58,"{""Answer"":""215"",""Confidence"":""0.58""}",,1.jpg,17,237.0
wgd_1_18,225.0,0.64,"{""Answer"":""225"",""Confidence"":""0.64""}",,1.jpg,18,237.0
wgd_1_19,220.0,0.7,"{""Answer"":""220"",""Confidence"":""0.70""}",,1.jpg,19,237.0
wgd_1_20,235.0,0.62,"{""Answer"":""235"",""Confidence"":""0.62""}",,1.jpg,20,237.0
wgd_2_01,175.0,0.02,"{""Answer"":""175"",""Confidence"":""0.02""}",,2.jpg,1,215.0
wgd_2_02,190.0,0.18,"{""Answer"":""190"",""Confidence"":""0.18""}",,2.jpg,2,215.0
wgd_2_03,185.0,0.21,"{""Answer"":""185"",""Confidence"":""0.21""}",,2.jpg,3,215.0
wgd_2_04,182.0,0.18,"{""Answer"":""182"",""Confidence"":""0.18""}",,2.jpg,4,215.0
wgd_2_05,185.0,0.42,"{""Answer"":""185"",""Confidence"":""0.42""}",,2.jpg,5,215.0
wgd_2_06,185.0,0.44,"{""Answer"":""185"",""Confidence"":""0.44""}",,2.jpg,6,215.0
wgd_2_07,185.0,0.41,"{""Answer"":""185"",""Confidence"":""0.41""}",,2.jpg,7,215.0
wgd_2_08,175.0,0.32,"{""Answer"":""175"",""Confidence"":""0.32""}",,2.jpg,8,215.0
wgd_2_09,185.0,0.36,"{""Answer"":""185"",""Confidence"":""0.36""}",,2.jpg,9,215.0
wgd_2_10,185.0,0.53,"{""Answer"":""185"",""Confidence"":""0.53""}",,2.jpg,10,215.0
wgd_2_11,182.0,0.46,"{""Answer"":""182"",""Confidence"":""0.46""}",,2.jpg,11,215.0
wgd_2_12,185.0,0.55,"{""Answer"":""185"",""Confidence"":""0.55""}",,2.jpg,12,215.0
wgd_2_13,180.0,0.42,"{""Answer"":""180"",""Confidence"":""0.42""}",,2.jpg,13,215.0
wgd_2_14,180.0,0.61,"{""Answer"":""180"",""Confidence"":""0.61""}",,2.jpg,14,215.0
wgd_2_15,175.0,0.62,"{""Answer"":""175"",""Confidence"":""0.62""}",,2.jpg,15,215.0
wgd_2_16,185.0,0.52,"{""Answer"":""185"",""Confidence"":""0.52""}",,2.jpg,16,215.0
wgd_2_17,185.0,0.58,"{""Answer"":""185"",""Confidence"":""0.58""}",,2.jpg,17,215.0
wgd_2_18,185.0,0.62,"{""Answer"":""185"",""Confidence"":""0.62""}",,2.jpg,18,215.0
wgd_2_19,185.0,0.63,"{""Answer"":""185"",""Confidence"":""0.63""}",,2.jpg,19,215.0
wgd_2_20,180.0,0.66,"{""Answer"":""180"",""Confidence"":""0.66""}",,2.jpg,20,215.0
wgd_3_01,165.0,0.08,"{""Answer"":""165"",""Confidence"":""0.08""}",,3.jpg,1,218.0
wgd_3_02,175.0,0.18,"{""Answer"":""175"",""Confidence"":""0.18""}",,3.jpg,2,218.0
wgd_3_03,170.0,0.18,"{""Answer"":""170"",""Confidence"":""0.18""}",,3.jpg,3,218.0
wgd_3_04,165.0,0.22,"{""Answer"":""165"",""Confidence"":""0.22""}",,3.jpg,4,218.0
