question_id,Answer,Confidence,raw,error,min_age,sex,radius,bin_width,top_n
le_spd_0_female_10,85.0,0.35,"```json
[
  {""min"": 80, ""max"": 90, ""confidence"": 0.35},
  {""min"": 70, ""max"": 80, ""confidence"": 0.25},
  {""min"": 90, ""max"": 100, ""confidence"": 0.20},
  {""min"": 60, ""max"": 70, ""confidence"": 0.10},
  {""min"": 100, ""max"": 110, ""confidence"": 0.05},
  {""min"": 50, ""max"": 60, ""confidence"": 0.03},
  {""min"": 40, ""max"": 50, ""confidence"": 0.01},
  {""min"": 30, ""max"": 40, ""confidence"": 0.005},
  {""min"": 20, ""max"": 30, ""confidence"": 0.003},
  {""min"": 110, ""max"": 120, ""confidence"": 0.002}
]
```",,0,female,5,10,10
le_spd_0_female_2,85.0,0.13,"[{""min"": 84,""max"": 86,""confidence"": 0.13},{""min"": 86,""max"": 88,""confidence"": 0.12},{""min"": 82,""max"": 84,""confidence"": 0.11},{""min"": 88,""max"": 90,""confidence"": 0.1},{""min"": 80,""max"": 82,""confidence"": 0.09},{""min"": 90,""max"": 92,""confidence"": 0.08},{""min"": 78,""max"": 80,""confidence"": 0.07},{""min"": 92,""max"": 94,""confidence"": 0.06},{""min"": 76,""max"": 78,""confidence"": 0.05},{""min"": 94,""max"": 96,""confidence"": 0.04}]",,0,female,1,2,10
le_spd_0_female_20,90.0,0.4,"```json
[
  {
    ""min"": 80,
    ""max"": 100,
    ""confidence"": 0.40
  },
  {
    ""min"": 60,
    ""max"": 80,
    ""confidence"": 0.35
  },
  {
    ""min"": 100,
    ""max"": 120,
    ""confidence"": 0.15
  },
  {
    ""min"": 40,
    ""max"": 60,
    ""confidence"": 0.07
  },
  {
    ""min"": 20,
    ""max"": 40,
    ""confidence"": 0.03
  }
]
```",,0,female,10,20,5
le_spd_0_female_40,100.0,0.45,"```json
[
  {""min"": 80, ""max"": 120, ""confidence"": 0.45},
  {""min"": 70, ""max"": 110, ""confidence"": 0.35},
  {""min"": 75, ""max"": 115, ""confidence"": 0.20}
]
```",,0,female,20,40,3
le_spd_0_male_10,75.0,0.28,"```json
[
  {
    ""min"": 70,
    ""max"": 80,
    ""confidence"": 0.28
  },
  {
    ""min"": 80,
    ""max"": 90,
    ""confidence"": 0.25
  },
  {
    ""min"": 60,
    ""max"": 70,
    ""confidence"": 0.18
  },
  {
    ""min"": 90,
    ""max"": 100,
    ""confidence"": 0.12
  },
  {
    ""min"": 50,
    ""max"": 60,
    ""confidence"": 0.08
  },
  {
    ""min"": 100,
    ""max"": 110,
    ""confidence"": 0.04
  },
  {
    ""min"": 40,
    ""max"": 50,
    ""confidence"": 0.02
  },
  {
    ""min"": 30,
    ""max"": 40,
    ""confidence"": 0.01
  },
  {
    ""min"": 20,
    ""max"": 30,
    ""confidence"": 0.005
  },
  {
    ""min"": 0,
    ""max"": 10,
    ""confidence"": 0.005
  }
]
```",,0,male,5,10,10
le_spd_0_male_2,77.0,0.095,"```json
[
  {""min"": 76, ""max"": 78, ""confidence"": 0.095},
  {""min"": 74, ""max"": 76, ""confidence"": 0.085},
  {""min"": 78, ""max"": 80, ""confidence"": 0.080},
  {""min"": 72, ""max"": 74, ""confidence"": 0.075},
  {""min"": 80, ""max"": 82, ""confidence"": 0.070},
  {""min"": 70, ""max"": 72, ""confidence"": 0.065},
  {""min"": 82, ""max"": 84, ""confidence"": 0.060},
  {""min"": 68, ""max"": 70, ""confidence"": 0.055},
  {""min"": 84, ""max"": 86, ""confidence"": 0.050},
  {""min"": 86, ""max"": 88, ""confidence"": 0.040}
]
```",,0,male,1,2,10
le_spd_0_male_20,80.0,0.264,"[{""min"": 70, ""max"": 90, ""confidence"": 0.264}, {""min"": 50, ""max"": 70, ""confidence"": 0.216}, {""min"": 80, ""max"": 100, ""confidence"": 0.183}, {""min"": 60, ""max"": 80, ""confidence"": 0.176}, {""min"": 40, ""max"": 60, ""confidence"": 0.126}]",,0,male,10,20,5
le_spd_0_male_40,90.0,0.5,"```json
[
  {
    ""min"": 70,
    ""max"": 110,
    ""confidence"": 0.50
  },
  {
    ""min"": 60,
    ""max"": 100,
    ""confidence"": 0.30
  },
  {
    ""min"": 80,
    ""max"": 120,
    ""confidence"": 0.15
  }
]
```",,0,male,20,40,3
le_spd_100_female_10,105.0,0.45,"```json
[
  {""min"": 100, ""max"": 110, ""confidence"": 0.45},
  {""min"": 110, ""max"": 120, ""confidence"": 0.35},
  {""min"": 90, ""max"": 100, ""confidence"": 0.12},
  {""min"": 120, ""max"": 130, ""confidence"": 0.05},
  {""min"": 80, ""max"": 90, ""confidence"": 0.02},
  {""min"": 130, ""max"": 140, ""confidence"": 0.008},
  {""min"": 70, ""max"": 80, ""confidence"": 0.001},
  {""min"": 140, ""max"": 150, ""confidence"": 0.0005},
  {""min"": 60, ""max"": 70, ""confidence"": 0.0003},
  {""min"": 150, ""max"": 160, ""confidence"": 0.0002}
]
```",,100,female,5,10,10
le_spd_100_female_2,101.0,0.22,"```json
[
  {""min"": 100, ""max"": 102, ""confidence"": 0.22},
  {""min"": 102, ""max"": 104, ""confidence"": 0.18},
  {""min"": 104, ""max"": 106, ""confidence"": 0.14},
  {""min"": 106, ""max"": 108, ""confidence"": 0.10},
  {""min"": 108, ""max"": 110, ""confidence"": 0.08},
  {""min"": 110, ""max"": 112, ""confidence"": 0.06},
  {""min"": 112, ""max"": 114, ""confidence"": 0.05},
  {""min"": 114, ""max"": 116, ""confidence"": 0.04},
  {""min"": 116, ""max"": 118, ""confidence"": 0.03},
  {""min"": 118, ""max"": 120, ""confidence"": 0.02}
]
```",,100,female,1,2,10
le_spd_100_female_20,110.0,0.95,"[{""min"": 100,""max"": 120,""confidence"": 0.95},{""min"": 80,""max"": 100,""confidence"": 0.04},{""min"": 120,""max"": 140,""confidence"": 0.01},{""min"": 60,""max"": 80,""confidence"": 0.0},{""min"": 140,""max"": 160,""confidence"": 0.0}]",,100,female,10,20,5
le_spd_100_female_40,120.0,0.88,"[{""min"": 100, ""max"": 140, ""confidence"": 0.88}, {""min"": 90, ""max"": 130, ""confidence"": 0.11}, {""min"": 80, ""max"": 120, ""confidence"": 0.01}]",,100,female,20,40,3
le_spd_100_male_10,105.0,0.65,"```json
[
  {
    ""min"": 100,
    ""max"": 110,
    ""confidence"": 0.65
  },
  {
    ""min"": 110,
    ""max"": 120,
    ""confidence"": 0.25
  },
  {
    ""min"": 120,
    ""max"": 130,
    ""confidence"": 0.07
  },
  {
    ""min"": 130,
    ""max"": 140,
    ""confidence"": 0.02
  },
  {
    ""min"": 140,
    ""max"": 150,
    ""confidence"": 0.005
  },
  {
    ""min"": 150,
    ""max"": 160,
    ""confidence"": 0.003
  },
  {
    ""min"": 160,
    ""max"": 170,
    ""confidence"": 0.001
  },
  {
    ""min"": 170,
    ""max"": 180,
    ""confidence"": 0.0005
  },
  {
    ""min"": 180,
    ""max"": 190,
    ""confidence"": 0.0002
  },
  {
    ""min"": 190,
    ""max"": 200,
    ""confidence"": 0.0001
  }
]
```",,100,male,5,10,10
le_spd_100_male_2,101.0,0.35,"```json
[
  {""min"": 100, ""max"": 102, ""confidence"": 0.35},
  {""min"": 102, ""max"": 104, ""confidence"": 0.25},
  {""min"": 104, ""max"": 106, ""confidence"": 0.15},
  {""min"": 106, ""max"": 108, ""confidence"": 0.1},
  {""min"": 108, ""max"": 110, ""confidence"": 0.05},
  {""min"": 110, ""max"": 112, ""confidence"": 0.03},
  {""min"": 112, ""max"": 114, ""confidence"": 0.02},
  {""min"": 114, ""max"": 116, ""confidence"": 0.015},
  {""min"": 116, ""max"": 118, ""confidence"": 0.01},
  {""min"": 118, ""max"": 120, ""confidence"": 0.005}
]
```",,100,male,1,2,10
