question_id,Answer,Confidence,raw,error,tok_in,tok_out,photo,within_lbs,true_weight,bin_width,top_n
wgd_spd_1_02,205.0,0.12,"```json
[
  {""min"": 204, ""max"": 206, ""confidence"": 0.12},
  {""min"": 206, ""max"": 208, ""confidence"": 0.11},
  {""min"": 202, ""max"": 204, ""confidence"": 0.10},
  {""min"": 208, ""max"": 210, ""confidence"": 0.10},
  {""min"": 210, ""max"": 212, ""confidence"": 0.09},
  {""min"": 200, ""max"": 202, ""confidence"": 0.09},
  {""min"": 212, ""max"": 214, ""confidence"": 0.08},
  {""min"": 198, ""max"": 200, ""confidence"": 0.08},
  {""min"": 214, ""max"": 216, ""confidence"": 0.07},
  {""min"": 196, ""max"": 198, ""confidence"": 0.06}
]
```",,1426,278,1.jpg,1,237.0,2,10
wgd_spd_1_10,205.0,0.15,"```json
[
  {""min"": 200, ""max"": 210, ""confidence"": 0.15},
  {""min"": 190, ""max"": 200, ""confidence"": 0.14},
  {""min"": 210, ""max"": 220, ""confidence"": 0.13},
  {""min"": 220, ""max"": 230, ""confidence"": 0.12},
  {""min"": 180, ""max"": 190, ""confidence"": 0.11},
  {""min"": 230, ""max"": 240, ""confidence"": 0.10},
  {""min"": 170, ""max"": 180, ""confidence"": 0.08},
  {""min"": 240, ""max"": 250, ""confidence"": 0.07},
  {""min"": 160, ""max"": 170, ""confidence"": 0.06},
  {""min"": 250, ""max"": 260, ""confidence"": 0.04}
]
```",,1428,278,1.jpg,5,237.0,10,10
wgd_spd_1_20,190.0,0.3,"```json
[
  {""min"": 180, ""max"": 200, ""confidence"": 0.3},
  {""min"": 200, ""max"": 220, ""confidence"": 0.25},
  {""min"": 160, ""max"": 180, ""confidence"": 0.2},
  {""min"": 220, ""max"": 240, ""confidence"": 0.15},
  {""min"": 140, ""max"": 160, ""confidence"": 0.1}
]
```",,1427,140,1.jpg,10,237.0,20,5
wgd_spd_1_40,200.0,0.5,"```json
[
  {""min"": 180, ""max"": 220, ""confidence"": 0.5},
  {""min"": 220, ""max"": 260, ""confidence"": 0.3},
  {""min"": 140, ""max"": 180, ""confidence"": 0.15}
]
```",,1427,87,1.jpg,20,237.0,40,3
wgd_spd_2_02,173.0,0.15,"```json
[
  {""min"": 172, ""max"": 174, ""confidence"": 0.15},
  {""min"": 174, ""max"": 176, ""confidence"": 0.15},
  {""min"": 170, ""max"": 172, ""confidence"": 0.12},
  {""min"": 176, ""max"": 178, ""confidence"": 0.12},
  {""min"": 168, ""max"": 170, ""confidence"": 0.10},
  {""min"": 178, ""max"": 180, ""confidence"": 0.10},
  {""min"": 166, ""max"": 168, ""confidence"": 0.08},
  {""min"": 180, ""max"": 182, ""confidence"": 0.08},
  {""min"": 164, ""max"": 166, ""confidence"": 0.05},
  {""min"": 182, ""max"": 184, ""confidence"": 0.05}
]
```",,1426,278,2.jpg,1,215.0,2,10
wgd_spd_2_10,175.0,0.2,"```json
[
  {""min"": 170, ""max"": 180, ""confidence"": 0.2},
  {""min"": 160, ""max"": 170, ""confidence"": 0.15},
  {""min"": 180, ""max"": 190, ""confidence"": 0.15},
  {""min"": 190, ""max"": 200, ""confidence"": 0.1},
  {""min"": 150, ""max"": 160, ""confidence"": 0.1},
  {""min"": 200, ""max"": 210, ""confidence"": 0.08},
  {""min"": 140, ""max"": 150, ""confidence"": 0.07},
  {""min"": 210, ""max"": 220, ""confidence"": 0.06},
  {""min"": 130, ""max"": 140, ""confidence"": 0.05},
  {""min"": 220, ""max"": 230, ""confidence"": 0.04}
]
```",,1428,275,2.jpg,5,215.0,10,10
wgd_spd_2_20,190.0,0.3,"```json
[
  {""min"": 180, ""max"": 200, ""confidence"": 0.3},
  {""min"": 190, ""max"": 210, ""confidence"": 0.25},
  {""min"": 170, ""max"": 190, ""confidence"": 0.2},
  {""min"": 200, ""max"": 220, ""confidence"": 0.15},
  {""min"": 160, ""max"": 180, ""confidence"": 0.1}
]
```",,1427,140,2.jpg,10,215.0,20,5
wgd_spd_2_40,190.0,0.7,"```json
[
  {""min"": 170, ""max"": 210, ""confidence"": 0.7},
  {""min"": 150, ""max"": 190, ""confidence"": 0.2},
  {""min"": 190, ""max"": 230, ""confidence"": 0.1}
]
```",,1427,86,2.jpg,20,215.0,40,3
wgd_spd_3_02,175.0,0.15,"```json
[
  {""min"": 174, ""max"": 176, ""confidence"": 0.15},
  {""min"": 176, ""max"": 178, ""confidence"": 0.14},
  {""min"": 172, ""max"": 174, ""confidence"": 0.13},
  {""min"": 178, ""max"": 180, ""confidence"": 0.12},
  {""min"": 170, ""max"": 172, ""confidence"": 0.1},
  {""min"": 180, ""max"": 182, ""confidence"": 0.09},
  {""min"": 168, ""max"": 170, ""confidence"": 0.08},
  {""min"": 182, ""max"": 184, ""confidence"": 0.07},
  {""min"": 166, ""max"": 168, ""confidence"": 0.06},
  {""min"": 184, ""max"": 186, ""confidence"": 0.06}
]
```",,1426,277,3.jpg,1,218.0,2,10
wgd_spd_3_10,175.0,0.2,"```json
[
  {""min"": 170, ""max"": 180, ""confidence"": 0.2},
  {""min"": 160, ""max"": 170, ""confidence"": 0.18},
  {""min"": 180, ""max"": 190, ""confidence"": 0.15},
  {""min"": 150, ""max"": 160, ""confidence"": 0.12},
  {""min"": 190, ""max"": 200, ""confidence"": 0.1},
  {""min"": 140, ""max"": 150, ""confidence"": 0.08},
  {""min"": 200, ""max"": 210, ""confidence"": 0.07},
  {""min"": 130, ""max"": 140, ""confidence"": 0.05},
  {""min"": 210, ""max"": 220, ""confidence"": 0.03},
  {""min"": 120, ""max"": 130, ""confidence"": 0.02}
]
```",,1428,276,3.jpg,5,218.0,10,10
wgd_spd_3_20,180.0,0.3,"```json
[
  {
    ""min"": 170,
    ""max"": 190,
    ""confidence"": 0.3
  },
  {
    ""min"": 160,
    ""max"": 180,
    ""confidence"": 0.25
  },
  {
    ""min"": 180,
    ""max"": 200,
    ""confidence"": 0.2
  },
  {
    ""min"": 150,
    ""max"": 170,
    ""confidence"": 0.15
  },
  {
    ""min"": 190,
    ""max"": 210,
    ""confidence"": 0.1
  }
]
```",,1427,185,3.jpg,10,218.0,20,5
wgd_spd_3_40,180.0,0.5,"```json
[
  {""min"": 160, ""max"": 200, ""confidence"": 0.5},
  {""min"": 120, ""max"": 160, ""confidence"": 0.3},
  {""min"": 200, ""max"": 240, ""confidence"": 0.2}
]
```",,1427,86,3.jpg,20,218.0,40,3
wgd_spd_4_02,101.0,0.15,"```json
[
  {""min"": 100, ""max"": 102, ""confidence"": 0.15},
  {""min"": 102, ""max"": 104, ""confidence"": 0.15},
  {""min"": 98, ""max"": 100, ""confidence"": 0.13},
  {""min"": 104, ""max"": 106, ""confidence"": 0.12},
  {""min"": 96, ""max"": 98, ""confidence"": 0.10},
  {""min"": 106, ""max"": 108, ""confidence"": 0.08},
  {""min"": 94, ""max"": 96, ""confidence"": 0.07},
  {""min"": 108, ""max"": 110, ""confidence"": 0.07},
  {""min"": 92, ""max"": 94, ""confidence"": 0.03},
  {""min"": 110, ""max"": 112, ""confidence"": 0.03}
]
```",,1426,271,4.jpg,1,95.0,2,10
wgd_spd_4_10,105.0,0.2,"```json
[
  {""min"": 100, ""max"": 110, ""confidence"": 0.2},
  {""min"": 110, ""max"": 120, ""confidence"": 0.2},
  {""min"": 90, ""max"": 100, ""confidence"": 0.15},
  {""min"": 120, ""max"": 130, ""confidence"": 0.15},
  {""min"": 130, ""max"": 140, ""confidence"": 0.1},
  {""min"": 80, ""max"": 90, ""confidence"": 0.05},
  {""min"": 140, ""max"": 150, ""confidence"": 0.05},
  {""min"": 70, ""max"": 80, ""confidence"": 0.02},
  {""min"": 150, ""max"": 160, ""confidence"": 0.02},
  {""min"": 160, ""max"": 170, ""confidence"": 0.01}
]
```",,1428,270,4.jpg,5,95.0,10,10
wgd_spd_4_20,110.0,0.3,"```json
[
  {""min"": 100, ""max"": 120, ""confidence"": 0.3},
  {""min"": 120, ""max"": 140, ""confidence"": 0.25},
  {""min"": 90, ""max"": 110, ""confidence"": 0.2},
  {""min"": 110, ""max"": 130, ""confidence"": 0.15},
  {""min"": 130, ""max"": 150, ""confidence"": 0.1}
]
```",,1427,139,4.jpg,10,95.0,20,5
wgd_spd_4_40,110.0,0.7,"```json
[
  {
    ""min"": 90,
    ""max"": 130,
    ""confidence"": 0.7
  },
  {
    ""min"": 130,
    ""max"": 170,
    ""confidence"": 0.2
  },
  {
    ""min"": 50,
    ""max"": 90,
    ""confidence"": 0.1
  }
]
```",,1427,110,4.jpg,20,95.0,40,3
wgd_spd_5_02,173.0,0.15,"```json
[
  {""min"": 172, ""max"": 174, ""confidence"": 0.15},
  {""min"": 174, ""max"": 176, ""confidence"": 0.15},
  {""min"": 170, ""max"": 172, ""confidence"": 0.12},
  {""min"": 176, ""max"": 178, ""confidence"": 0.12},
  {""min"": 168, ""max"": 170, ""confidence"": 0.10},
  {""min"": 178, ""max"": 180, ""confidence"": 0.10},
  {""min"": 166, ""max"": 168, ""confidence"": 0.08},
  {""min"": 180, ""max"": 182, ""confidence"": 0.08},
  {""min"": 164, ""max"": 166, ""confidence"": 0.05},
  {""min"": 182, ""max"": 184, ""confidence"": 0.05}
]
```",,1426,278,5.jpg,1,142.0,2,10
wgd_spd_5_10,155.0,0.15,"```json
[
  {""min"": 150, ""max"": 160, ""confidence"": 0.15},
  {""min"": 160, ""max"": 170, ""confidence"": 0.15},
  {""min"": 140, ""max"": 150, ""confidence"": 0.12},
  {""min"": 170, ""max"": 180, ""confidence"": 0.12},
  {""min"": 130, ""max"": 140, ""confidence"": 0.10},
  {""min"": 180, ""max"": 190, ""confidence"": 0.10},
  {""min"": 120, ""max"": 130, ""confidence"": 0.08},
  {""min"": 190, ""max"": 200, ""confidence"": 0.08},
  {""min"": 110, ""max"": 120, ""confidence"": 0.05},
  {""min"": 200, ""max"": 210, ""confidence"": 0.05}
]
```",,1428,278,5.jpg,5,142.0,10,10
wgd_spd_5_20,150.0,0.3,"```json
[
  {""min"": 140, ""max"": 160, ""confidence"": 0.3},
  {""min"": 160, ""max"": 180, ""confidence"": 0.25},
  {""min"": 120, ""max"": 140, ""confidence"": 0.2},
  {""min"": 180, ""max"": 200, ""confidence"": 0.15},
  {""min"": 100, ""max"": 120, ""confidence"": 0.05}
]
```",,1427,141,5.jpg,10,142.0,20,5
