question_id,Answer,Confidence,raw,error,tok_in,tok_out,photo,within_lbs,true_weight,bin_width,top_n
wgd_spd_1_02,171.0,0.12,"[{""min"": 170, ""max"": 172, ""confidence"": 0.12}, {""min"": 172, ""max"": 174, ""confidence"": 0.11}, {""min"": 168, ""max"": 170, ""confidence"": 0.1}, {""min"": 174, ""max"": 176, ""confidence"": 0.09}, {""min"": 166, ""max"": 168, ""confidence"": 0.08}, {""min"": 176, ""max"": 178, ""confidence"": 0.08}, {""min"": 164, ""max"": 166, ""confidence"": 0.07}, {""min"": 178, ""max"": 180, ""confidence"": 0.07}, {""min"": 162, ""max"": 164, ""confidence"": 0.06}, {""min"": 180, ""max"": 182, ""confidence"": 0.06}]",,2020,201,1.jpg,1,237.0,2,10
wgd_spd_1_10,195.0,0.25,"[{""min"": 170, ""max"": 180, ""confidence"": 0.15}, {""min"": 180, ""max"": 190, ""confidence"": 0.2}, {""min"": 190, ""max"": 200, ""confidence"": 0.25}, {""min"": 200, ""max"": 210, ""confidence"": 0.15}, {""min"": 160, ""max"": 170, ""confidence"": 0.1}, {""min"": 210, ""max"": 220, ""confidence"": 0.05}, {""min"": 150, ""max"": 160, ""confidence"": 0.05}, {""min"": 220, ""max"": 230, ""confidence"": 0.03}, {""min"": 140, ""max"": 150, ""confidence"": 0.01}, {""min"": 230, ""max"": 240, ""confidence"": 0.01}]",,2020,201,1.jpg,5,237.0,10,10
wgd_spd_1_20,190.0,0.25,"[{""min"": 180, ""max"": 200, ""confidence"": 0.25}, {""min"": 200, ""max"": 220, ""confidence"": 0.23}, {""min"": 160, ""max"": 180, ""confidence"": 0.2}, {""min"": 220, ""max"": 240, ""confidence"": 0.17}, {""min"": 140, ""max"": 160, ""confidence"": 0.15}]",,2020,101,1.jpg,10,237.0,20,5
wgd_spd_1_40,190.0,0.5,"[{""min"": 170, ""max"": 210, ""confidence"": 0.5}, {""min"": 190, ""max"": 230, ""confidence"": 0.3}, {""min"": 150, ""max"": 190, ""confidence"": 0.2}]",,2020,61,1.jpg,20,237.0,40,3
wgd_spd_2_02,161.0,0.15,"[{""min"": 160, ""max"": 162, ""confidence"": 0.15}, {""min"": 162, ""max"": 164, ""confidence"": 0.14}, {""min"": 158, ""max"": 160, ""confidence"": 0.12}, {""min"": 164, ""max"": 166, ""confidence"": 0.11}, {""min"": 156, ""max"": 158, ""confidence"": 0.1}, {""min"": 166, ""max"": 168, ""confidence"": 0.09}, {""min"": 154, ""max"": 156, ""confidence"": 0.08}, {""min"": 168, ""max"": 170, ""confidence"": 0.07}, {""min"": 152, ""max"": 154, ""confidence"": 0.06}, {""min"": 170, ""max"": 172, ""confidence"": 0.05}]",,2020,201,2.jpg,1,215.0,2,10
wgd_spd_2_10,155.0,0.15,"[{""min"": 150, ""max"": 160, ""confidence"": 0.15}, {""min"": 160, ""max"": 170, ""confidence"": 0.14}, {""min"": 170, ""max"": 180, ""confidence"": 0.13}, {""min"": 140, ""max"": 150, ""confidence"": 0.12}, {""min"": 180, ""max"": 190, ""confidence"": 0.11}, {""min"": 130, ""max"": 140, ""confidence"": 0.1}, {""min"": 190, ""max"": 200, ""confidence"": 0.09}, {""min"": 120, ""max"": 130, ""confidence"": 0.08}, {""min"": 200, ""max"": 210, ""confidence"": 0.05}, {""min"": 210, ""max"": 220, ""confidence"": 0.03}]",,2020,201,2.jpg,5,215.0,10,10
wgd_spd_2_20,160.0,0.3,"[{""min"": 150, ""max"": 170, ""confidence"": 0.3}, {""min"": 160, ""max"": 180, ""confidence"": 0.25}, {""min"": 170, ""max"": 190, ""confidence"": 0.2}, {""min"": 140, ""max"": 160, ""confidence"": 0.15}, {""min"": 180, ""max"": 200, ""confidence"": 0.1}]",,2020,101,2.jpg,10,215.0,20,5
wgd_spd_3_02,151.0,0.1,"[{""min"": 150, ""max"": 152, ""confidence"": 0.1}, {""min"": 152, ""max"": 154, ""confidence"": 0.1}, {""min"": 154, ""max"": 156, ""confidence"": 0.1}, {""min"": 156, ""max"": 158, ""confidence"": 0.1}, {""min"": 158, ""max"": 160, ""confidence"": 0.1}, {""min"": 160, ""max"": 162, ""confidence"": 0.1}, {""min"": 162, ""max"": 164, ""confidence"": 0.1}, {""min"": 164, ""max"": 166, ""confidence"": 0.1}, {""min"": 166, ""max"": 168, ""confidence"": 0.1}, {""min"": 168, ""max"": 170, ""confidence"": 0.1}]",,2021,201,3.jpg,1,218.0,2,10
wgd_spd_3_10,155.0,0.2,"[{""min"": 140, ""max"": 150, ""confidence"": 0.15}, {""min"": 150, ""max"": 160, ""confidence"": 0.2}, {""min"": 160, ""max"": 170, ""confidence"": 0.2}, {""min"": 170, ""max"": 180, ""confidence"": 0.15}, {""min"": 180, ""max"": 190, ""confidence"": 0.1}, {""min"": 130, ""max"": 140, ""confidence"": 0.05}, {""min"": 190, ""max"": 200, ""confidence"": 0.05}, {""min"": 120, ""max"": 130, ""confidence"": 0.03}, {""min"": 200, ""max"": 210, ""confidence"": 0.03}, {""min"": 210, ""max"": 220, ""confidence"": 0.04}]",,2020,201,3.jpg,5,218.0,10,10
wgd_spd_3_20,170.0,0.3,"[{""min"": 140, ""max"": 160, ""confidence"": 0.25}, {""min"": 160, ""max"": 180, ""confidence"": 0.3}, {""min"": 150, ""max"": 170, ""confidence"": 0.2}, {""min"": 170, ""max"": 190, ""confidence"": 0.15}, {""min"": 180, ""max"": 200, ""confidence"": 0.1}]",,2020,101,3.jpg,10,218.0,20,5
