question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight,bin_width,top_n
wgd_spd_100_02,147.0,0.15,"```json
[
  {""min"": 146, ""max"": 148, ""confidence"": 0.15},
  {""min"": 148, ""max"": 150, ""confidence"": 0.15},
  {""min"": 144, ""max"": 146, ""confidence"": 0.13},
  {""min"": 150, ""max"": 152, ""confidence"": 0.12},
  {""min"": 142, ""max"": 144, ""confidence"": 0.1},
  {""min"": 152, ""max"": 154, ""confidence"": 0.09},
  {""min"": 140, ""max"": 142, ""confidence"": 0.08},
  {""min"": 154, ""max"": 156, ""confidence"": 0.07},
  {""min"": 138, ""max"": 140, ""confidence"": 0.06},
  {""min"": 156, ""max"": 158, ""confidence"": 0.05}
]
```",,100.jpg,1,177.0,2,10
wgd_spd_100_10,165.0,0.25,"```json
[
  {""min"": 160, ""max"": 170, ""confidence"": 0.25},
  {""min"": 170, ""max"": 180, ""confidence"": 0.22},
  {""min"": 150, ""max"": 160, ""confidence"": 0.20},
  {""min"": 180, ""max"": 190, ""confidence"": 0.15},
  {""min"": 140, ""max"": 150, ""confidence"": 0.10},
  {""min"": 190, ""max"": 200, ""confidence"": 0.05},
  {""min"": 130, ""max"": 140, ""confidence"": 0.02},
  {""min"": 200, ""max"": 210, ""confidence"": 0.01},
  {""min"": 120, ""max"": 130, ""confidence"": 0.00},
  {""min"": 210, ""max"": 220, ""confidence"": 0.00}
]
```",,100.jpg,5,177.0,10,10
wgd_spd_100_20,150.0,0.3,"[{""min"": 140, ""max"": 160, ""confidence"": 0.3}, {""min"": 150, ""max"": 170, ""confidence"": 0.25}, {""min"": 160, ""max"": 180, ""confidence"": 0.2}, {""min"": 130, ""max"": 150, ""confidence"": 0.15}, {""min"": 170, ""max"": 190, ""confidence"": 0.1}]",,100.jpg,10,177.0,20,5
wgd_spd_100_40,160.0,0.5,"[{""min"": 140, ""max"": 180, ""confidence"": 0.5}, {""min"": 160, ""max"": 200, ""confidence"": 0.3}, {""min"": 120, ""max"": 160, ""confidence"": 0.2}]",,100.jpg,20,177.0,40,3
wgd_spd_101_02,151.0,0.12,"[{""min"": 150, ""max"": 152, ""confidence"": 0.12}, {""min"": 148, ""max"": 150, ""confidence"": 0.11}, {""min"": 152, ""max"": 154, ""confidence"": 0.1}, {""min"": 146, ""max"": 148, ""confidence"": 0.09}, {""min"": 154, ""max"": 156, ""confidence"": 0.08}, {""min"": 144, ""max"": 146, ""confidence"": 0.07}, {""min"": 156, ""max"": 158, ""confidence"": 0.07}, {""min"": 142, ""max"": 144, ""confidence"": 0.06}, {""min"": 158, ""max"": 160, ""confidence"": 0.05}, {""min"": 140, ""max"": 142, ""confidence"": 0.05}]",,101.jpg,1,137.4,2,10
wgd_spd_101_10,135.0,0.24,"[{""min"":130,""max"":140,""confidence"":0.24},{""min"":140,""max"":150,""confidence"":0.22},{""min"":120,""max"":130,""confidence"":0.16},{""min"":150,""max"":160,""confidence"":0.14},{""min"":110,""max"":120,""confidence"":0.08},{""min"":160,""max"":170,""confidence"":0.06},{""min"":170,""max"":180,""confidence"":0.03},{""min"":100,""max"":110,""confidence"":0.03},{""min"":180,""max"":190,""confidence"":0.02},{""min"":190,""max"":200,""confidence"":0.02}]",,101.jpg,5,137.4,10,10
wgd_spd_101_20,150.0,0.3,"[{""min"": 120,""max"": 140,""confidence"": 0.18},{""min"": 140,""max"": 160,""confidence"": 0.3},{""min"": 160,""max"": 180,""confidence"": 0.24},{""min"": 100,""max"": 120,""confidence"": 0.12},{""min"": 180,""max"": 200,""confidence"": 0.16}]",,101.jpg,10,137.4,20,5
wgd_spd_101_40,160.0,0.5,"```json
[
  {""min"": 140, ""max"": 180, ""confidence"": 0.5},
  {""min"": 100, ""max"": 140, ""confidence"": 0.3},
  {""min"": 180, ""max"": 220, ""confidence"": 0.2}
]
```",,101.jpg,20,137.4,40,3
wgd_spd_102_02,155.0,0.2,"[{""min"": 150, ""max"": 152, ""confidence"": 0.1}, {""min"": 152, ""max"": 154, ""confidence"": 0.15}, {""min"": 154, ""max"": 156, ""confidence"": 0.2}, {""min"": 156, ""max"": 158, ""confidence"": 0.15}, {""min"": 158, ""max"": 160, ""confidence"": 0.1}, {""min"": 160, ""max"": 162, ""confidence"": 0.08}, {""min"": 162, ""max"": 164, ""confidence"": 0.06}, {""min"": 164, ""max"": 166, ""confidence"": 0.05}, {""min"": 166, ""max"": 168, ""confidence"": 0.04}, {""min"": 168, ""max"": 170, ""confidence"": 0.07}]",,102.jpg,1,152.4,2,10
wgd_spd_102_10,175.0,0.15,"```json
[
  {""min"": 170, ""max"": 180, ""confidence"": 0.15},
  {""min"": 160, ""max"": 170, ""confidence"": 0.14},
  {""min"": 180, ""max"": 190, ""confidence"": 0.13},
  {""min"": 150, ""max"": 160, ""confidence"": 0.12},
  {""min"": 190, ""max"": 200, ""confidence"": 0.10},
  {""min"": 140, ""max"": 150, ""confidence"": 0.09},
  {""min"": 200, ""max"": 210, ""confidence"": 0.08},
  {""min"": 130, ""max"": 140, ""confidence"": 0.07},
  {""min"": 210, ""max"": 220, ""confidence"": 0.06},
  {""min"": 120, ""max"": 130, ""confidence"": 0.05}
]
```",,102.jpg,5,152.4,10,10
wgd_spd_102_20,180.0,0.34,"[{""min"": 170,""max"": 190,""confidence"": 0.34},{""min"": 150,""max"": 170,""confidence"": 0.26},{""min"": 190,""max"": 210,""confidence"": 0.2},{""min"": 130,""max"": 150,""confidence"": 0.12},{""min"": 210,""max"": 230,""confidence"": 0.08}]",,102.jpg,10,152.4,20,5
wgd_spd_102_40,170.0,0.55,"```json
[
  {
    ""min"": 150,
    ""max"": 190,
    ""confidence"": 0.55
  },
  {
    ""min"": 170,
    ""max"": 210,
    ""confidence"": 0.25
  },
  {
    ""min"": 130,
    ""max"": 170,
    ""confidence"": 0.15
  }
]
```",,102.jpg,20,152.4,40,3
wgd_spd_103_02,139.0,0.15,"```json
[
  {""min"": 138, ""max"": 140, ""confidence"": 0.15},
  {""min"": 140, ""max"": 142, ""confidence"": 0.15},
  {""min"": 142, ""max"": 144, ""confidence"": 0.12},
  {""min"": 144, ""max"": 146, ""confidence"": 0.10},
  {""min"": 136, ""max"": 138, ""confidence"": 0.09},
  {""min"": 146, ""max"": 148, ""confidence"": 0.08},
  {""min"": 134, ""max"": 136, ""confidence"": 0.07},
  {""min"": 148, ""max"": 150, ""confidence"": 0.06},
  {""min"": 132, ""max"": 134, ""confidence"": 0.05},
  {""min"": 150, ""max"": 152, ""confidence"": 0.03}
]
```",,103.jpg,1,122.4,2,10
wgd_spd_103_10,145.0,0.2,"```json
[
  {""min"": 140, ""max"": 150, ""confidence"": 0.2},
  {""min"": 150, ""max"": 160, ""confidence"": 0.2},
  {""min"": 130, ""max"": 140, ""confidence"": 0.15},
  {""min"": 160, ""max"": 170, ""confidence"": 0.15},
  {""min"": 120, ""max"": 130, ""confidence"": 0.1},
  {""min"": 170, ""max"": 180, ""confidence"": 0.1},
  {""min"": 110, ""max"": 120, ""confidence"": 0.05},
  {""min"": 180, ""max"": 190, ""confidence"": 0.05}
]
```",,103.jpg,5,122.4,10,10
