question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight
wgd_1_01,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.60""}",,1.jpg,1,237.0
wgd_1_02,190,0.2,"{""Answer"": ""190"", ""Confidence"": ""0.2""}",,1.jpg,2,237.0
wgd_1_03,180,0.4,"{""Answer"": ""180"", ""Confidence"": ""0.40""}",,1.jpg,3,237.0
wgd_1_04,200,0.5,"{""Answer"": ""200"", ""Confidence"": ""0.5""}",,1.jpg,4,237.0
wgd_1_05,180,0.4,"{""Answer"": ""180"", ""Confidence"": ""0.40""}",,1.jpg,5,237.0
wgd_1_06,180,0.4,"{""Answer"": ""180"", ""Confidence"": ""0.4""}",,1.jpg,6,237.0
wgd_1_07,180,0.5,"{""Answer"": ""180"", ""Confidence"": ""0.50""}",,1.jpg,7,237.0
wgd_1_08,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,1.jpg,8,237.0
wgd_1_09,190,0.65,"{""Answer"": ""190"", ""Confidence"": ""0.65""}",,1.jpg,9,237.0
wgd_1_10,180,0.65,"{""Answer"": ""180"", ""Confidence"": ""0.65""}",,1.jpg,10,237.0
wgd_1_11,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.60""}",,1.jpg,11,237.0
wgd_1_12,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,1.jpg,12,237.0
wgd_1_13,185,0.6,"{""Answer"": ""185"", ""Confidence"": ""0.6""}",,1.jpg,13,237.0
wgd_1_14,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.6""}",,1.jpg,14,237.0
wgd_1_15,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.60""}",,1.jpg,15,237.0
wgd_1_16,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,1.jpg,16,237.0
wgd_1_17,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,1.jpg,17,237.0
wgd_1_18,190,0.6,"{""Answer"": ""190"", ""Confidence"": ""0.60""}",,1.jpg,18,237.0
wgd_1_19,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.6""}",,1.jpg,19,237.0
wgd_1_20,190,0.6,"{""Answer"": ""190"", ""Confidence"": ""0.6""}",,1.jpg,20,237.0
wgd_2_01,170,0.2,"{""Answer"": ""170"", ""Confidence"": ""0.20""}",,2.jpg,1,215.0
wgd_2_02,170,0.2,"{""Answer"": ""170"", ""Confidence"": ""0.2""}",,2.jpg,2,215.0
wgd_2_03,170,0.2,"{""Answer"": ""170"", ""Confidence"": ""0.20""}",,2.jpg,3,215.0
wgd_2_04,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.60""}",,2.jpg,4,215.0
wgd_2_05,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.60""}",,2.jpg,5,215.0
wgd_2_06,170,0.4,"{""Answer"": ""170"", ""Confidence"": ""0.40""}",,2.jpg,6,215.0
wgd_2_07,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.60""}",,2.jpg,7,215.0
wgd_2_08,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.60""}",,2.jpg,8,215.0
wgd_2_09,170,0.55,"{""Answer"": ""170"", ""Confidence"": ""0.55""}",,2.jpg,9,215.0
wgd_2_10,170,0.65,"{""Answer"": ""170"", ""Confidence"": ""0.65""}",,2.jpg,10,215.0
wgd_2_11,170,0.6,"{""Answer"": ""170"", ""Confidence"": ""0.6""}",,2.jpg,11,215.0
wgd_2_12,170,0.4,"{""Answer"": ""170"", ""Confidence"": ""0.40""}",,2.jpg,12,215.0
