question_id,Answer,Confidence,raw,error,tok_in,tok_out,min_age,sex,radius,bin_width,top_n
le_spd_0_male_2,79.0,0.046,"```json
[
  {
    ""min"": 78,
    ""max"": 80,
    ""confidence"": 0.046
  },
  {
    ""min"": 80,
    ""max"": 82,
    ""confidence"": 0.045
  },
  {
    ""min"": 76,
    ""max"": 78,
    ""confidence"": 0.044
  },
  {
    ""min"": 82,
    ""max"": 84,
    ""confidence"": 0.041
  },
  {
    ""min"": 74,
    ""max"": 76,
    ""confidence"": 0.041
  },
  {
    ""min"": 72,
    ""max"": 74,
    ""confidence"": 0.038
  },
  {
    ""min"": 84,
    ""max"": 86,
    ""confidence"": 0.036
  },
  {
    ""min"": 70,
    ""max"": 72,
    ""confidence"": 0.034
  },
  {
    ""min"": 86,
    ""max"": 88,
    ""confidence"": 0.029
  },
  {
    ""min"": 68,
    ""max"": 70,
    ""confidence"": 0.029
  }
]
```",,126,358,0,male,1,2,10
le_spd_0_male_10,75.0,0.29,"```json
[
  {
    ""min"": 70,
    ""max"": 80,
    ""confidence"": 0.29
  },
  {
    ""min"": 80,
    ""max"": 90,
    ""confidence"": 0.25
  },
  {
    ""min"": 60,
    ""max"": 70,
    ""confidence"": 0.17
  },
  {
    ""min"": 90,
    ""max"": 100,
    ""confidence"": 0.1
  },
  {
    ""min"": 50,
    ""max"": 60,
    ""confidence"": 0.08
  },
  {
    ""min"": 100,
    ""max"": 110,
    ""confidence"": 0.03
  },
  {
    ""min"": 40,
    ""max"": 50,
    ""confidence"": 0.03
  },
  {
    ""min"": 30,
    ""max"": 40,
    ""confidence"": 0.02
  },
  {
    ""min"": 20,
    ""max"": 30,
    ""confidence"": 0.01
  },
  {
    ""min"": 0,
    ""max"": 10,
    ""confidence"": 0.01
  }
]
```",,128,349,0,male,5,10,10
le_spd_0_male_20,80.0,0.448,"```json
[
  {
    ""min"": 70,
    ""max"": 90,
    ""confidence"": 0.448
  },
  {
    ""min"": 80,
    ""max"": 100,
    ""confidence"": 0.301
  },
  {
    ""min"": 60,
    ""max"": 80,
    ""confidence"": 0.229
  },
  {
    ""min"": 50,
    ""max"": 70,
    ""confidence"": 0.089
  },
  {
    ""min"": 90,
    ""max"": 110,
    ""confidence"": 0.054
  }
]
```",,127,185,0,male,10,20,5
le_spd_0_male_40,90.0,0.5,"```json
[
  {
    ""min"": 70,
    ""max"": 110,
    ""confidence"": 0.50
  },
  {
    ""min"": 60,
    ""max"": 100,
    ""confidence"": 0.35
  },
  {
    ""min"": 80,
    ""max"": 120,
    ""confidence"": 0.10
  }
]
```",,128,113,0,male,20,40,3
le_spd_1_male_10,75.0,0.32,"```json
[
  {
    ""min"": 70,
    ""max"": 80,
    ""confidence"": 0.32
  },
  {
    ""min"": 80,
    ""max"": 90,
    ""confidence"": 0.28
  },
  {
    ""min"": 60,
    ""max"": 70,
    ""confidence"": 0.15
  },
  {
    ""min"": 90,
    ""max"": 100,
    ""confidence"": 0.08
  },
  {
    ""min"": 50,
    ""max"": 60,
    ""confidence"": 0.06
  },
  {
    ""min"": 100,
    ""max"": 110,
    ""confidence"": 0.03
  },
  {
    ""min"": 40,
    ""max"": 50,
    ""confidence"": 0.02
  },
  {
    ""min"": 30,
    ""max"": 40,
    ""confidence"": 0.015
  },
  {
    ""min"": 20,
    ""max"": 30,
    ""confidence"": 0.01
  },
  {
    ""min"": 110,
    ""max"": 120,
    ""confidence"": 0.005
  }
]
```",,128,355,1,male,5,10,10
le_spd_1_male_20,80.0,0.4,"```json
[
  {
    ""min"": 70,
    ""max"": 90,
    ""confidence"": 0.40
  },
  {
    ""min"": 80,
    ""max"": 100,
    ""confidence"": 0.25
  },
  {
    ""min"": 60,
    ""max"": 80,
    ""confidence"": 0.20
  },
  {
    ""min"": 90,
    ""max"": 110,
    ""confidence"": 0.10
  },
  {
    ""min"": 50,
    ""max"": 70,
    ""confidence"": 0.05
  }
]
```",,127,180,1,male,10,20,5
le_spd_1_male_40,90.0,0.5,"```json
[
  {
    ""min"": 70,
    ""max"": 110,
    ""confidence"": 0.50
  },
  {
    ""min"": 60,
    ""max"": 100,
    ""confidence"": 0.25
  },
  {
    ""min"": 50,
    ""max"": 90,
    ""confidence"": 0.15
  }
]
```",,128,112,1,male,20,40,3
le_spd_2_male_2,79.0,0.05,"```json
[
  {
    ""min"": 78,
    ""max"": 80,
    ""confidence"": 0.05
  },
  {
    ""min"": 80,
    ""max"": 82,
    ""confidence"": 0.048
  },
  {
    ""min"": 76,
    ""max"": 78,
    ""confidence"": 0.047
  },
  {
    ""min"": 82,
    ""max"": 84,
    ""confidence"": 0.045
  },
  {
    ""min"": 74,
    ""max"": 76,
    ""confidence"": 0.043
  },
  {
    ""min"": 84,
    ""max"": 86,
    ""confidence"": 0.04
  },
  {
    ""min"": 72,
    ""max"": 74,
    ""confidence"": 0.038
  },
  {
    ""min"": 86,
    ""max"": 88,
    ""confidence"": 0.035
  },
  {
    ""min"": 70,
    ""max"": 72,
    ""confidence"": 0.033
  },
  {
    ""min"": 88,
    ""max"": 90,
    ""confidence"": 0.03
  }
]
```",,126,355,2,male,1,2,10
le_spd_2_male_10,75.0,0.297,"```json
[
  {
    ""min"": 70,
    ""max"": 80,
    ""confidence"": 0.297
  },
  {
    ""min"": 80,
    ""max"": 90,
    ""confidence"": 0.254
  },
  {
    ""min"": 60,
    ""max"": 70,
    ""confidence"": 0.177
  },
  {
    ""min"": 90,
    ""max"": 100,
    ""confidence"": 0.089
  },
  {
    ""min"": 50,
    ""max"": 60,
    ""confidence"": 0.082
  },
  {
    ""min"": 40,
    ""max"": 50,
    ""confidence"": 0.038
  },
  {
    ""min"": 100,
    ""max"": 110,
    ""confidence"": 0.019
  },
  {
    ""min"": 30,
    ""max"": 40,
    ""confidence"": 0.018
  },
  {
    ""min"": 20,
    ""max"": 30,
    ""confidence"": 0.012
  },
  {
    ""min"": 2,
    ""max"": 12,
    ""confidence"": 0.007
  }
]
```",,128,360,2,male,5,10,10
le_spd_2_male_20,80.0,0.4,"```json
[
  {
    ""min"": 70,
    ""max"": 90,
    ""confidence"": 0.40
  },
  {
    ""min"": 80,
    ""max"": 100,
    ""confidence"": 0.30
  },
  {
    ""min"": 60,
    ""max"": 80,
    ""confidence"": 0.15
  },
  {
    ""min"": 90,
    ""max"": 110,
    ""confidence"": 0.10
  },
  {
    ""min"": 50,
    ""max"": 70,
    ""confidence"": 0.03
  }
]
```",,127,180,2,male,10,20,5
