question_id,Answer,Confidence,raw,error,true_lifespan,min_age,sex,radius,best_answer,MAS
0,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,74.74,0,male,1,82.65,0.064814
1,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,74.74,0,male,2,82.6,0.129128
2,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,74.74,0,male,3,82.53,0.192455
3,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,74.74,0,male,4,82.43,0.254335
4,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.8""}",,74.74,0,male,5,82.3,0.314349
5,76,0.7,"{""Answer"": ""76"", ""Confidence"": ""0.7""}",,74.74,0,male,6,82.14,0.372125
6,76,0.75,"{""Answer"": ""76"", ""Confidence"": ""0.75""}",,74.74,0,male,7,81.95,0.42735
7,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,74.74,0,male,8,81.74,0.479768
8,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,74.74,0,male,9,81.5,0.529189
9,76,0.8,"{""Answer"": 76, ""Confidence"": 0.8}",,74.74,0,male,10,81.23,0.575483
10,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,74.74,0,male,11,80.94,0.61858
11,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,74.74,0,male,12,80.62,0.658465
12,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,74.74,0,male,13,80.28,0.695169
13,76,0.85,"{""Answer"": ""76"", ""Confidence"": ""0.85""}",,74.74,0,male,14,79.92,0.728767
14,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,74.74,0,male,15,79.53,0.759368
15,78,0.9,"{""Answer"": ""78"", ""Confidence"": ""0.9""}",,74.74,0,male,16,79.12,0.787109
16,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,74.74,0,male,17,78.69,0.812145
17,76,0.9,"{""Answer"": ""76"", ""Confidence"": ""0.9""}",,74.74,0,male,18,78.25,0.834648
18,76,0.95,"{""Answer"": ""76"", ""Confidence"": ""0.95""}",,74.74,0,male,19,77.78,0.854794
19,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.8""}",,74.74,0,male,20,77.3,0.872767
20,76.4,0.85,"{""Answer"": ""76.4"", ""Confidence"": ""0.85""}",,75.2,1,male,1,82.65,0.064819
21,76,0.8,"{""Answer"": ""76"", ""Confidence"": ""0.8""}",,75.2,1,male,2,82.6,0.129136
