question_id,Answer,Confidence,raw,error,photo,within_lbs,true_weight
wgd_1_01,250,0.3,"{""Answer"": ""250"", ""Confidence"": ""0.3""}",,1.jpg,1,237.0
wgd_1_02,205,0.3,"{""Answer"": ""205"", ""Confidence"": ""0.3""}",,1.jpg,2,237.0
wgd_1_03,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,3,237.0
wgd_1_04,250,0.4,"```json
{""Answer"": ""250"", ""Confidence"": ""0.4""}
```",,1.jpg,4,237.0
wgd_1_05,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,5,237.0
wgd_1_06,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,6,237.0
wgd_1_07,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,7,237.0
wgd_1_08,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,8,237.0
wgd_1_09,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,9,237.0
wgd_1_10,210,0.7,"```json
{""Answer"": ""210"", ""Confidence"": ""0.7""}
```",,1.jpg,10,237.0
wgd_1_11,205,0.65,"{""Answer"": ""205"", ""Confidence"": ""0.65""}",,1.jpg,11,237.0
wgd_1_12,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,12,237.0
wgd_1_13,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,13,237.0
wgd_1_14,250,0.7,"```json
{""Answer"": ""250"", ""Confidence"": ""0.70""}
```",,1.jpg,14,237.0
wgd_1_15,210,0.6,"{""Answer"": ""210"", ""Confidence"": ""0.6""}",,1.jpg,15,237.0
wgd_1_16,210,0.6,"```json
{""Answer"": ""210"", ""Confidence"": ""0.6""}
```",,1.jpg,16,237.0
wgd_1_17,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,17,237.0
wgd_1_18,210,0.6,"```json
{""Answer"": ""210"", ""Confidence"": ""0.6""}
```",,1.jpg,18,237.0
wgd_1_19,205,0.6,"{""Answer"": ""205"", ""Confidence"": ""0.6""}",,1.jpg,19,237.0
wgd_1_20,200,0.6,"{""Answer"": ""200"", ""Confidence"": ""0.6""}",,1.jpg,20,237.0
wgd_2_01,180,0.1,"{""Answer"": ""180"", ""Confidence"": ""0.1""}",,2.jpg,1,215.0
wgd_2_02,180,0.3,"{""Answer"": ""180"", ""Confidence"": ""0.3""}",,2.jpg,2,215.0
wgd_2_03,180,0.3,"{""Answer"": ""180"", ""Confidence"": ""0.3""}",,2.jpg,3,215.0
wgd_2_04,180,0.3,"{""Answer"": ""180"", ""Confidence"": ""0.3""}",,2.jpg,4,215.0
wgd_2_05,180,0.3,"{""Answer"": ""180"", ""Confidence"": ""0.3""}",,2.jpg,5,215.0
wgd_2_06,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,2.jpg,6,215.0
wgd_2_07,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,2.jpg,7,215.0
wgd_2_08,180,0.3,"{""Answer"": ""180"", ""Confidence"": ""0.3""}",,2.jpg,8,215.0
wgd_2_09,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,2.jpg,9,215.0
wgd_2_10,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,2.jpg,10,215.0
wgd_2_11,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,2.jpg,11,215.0
wgd_2_12,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,2.jpg,12,215.0
wgd_2_13,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,2.jpg,13,215.0
wgd_2_14,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,2.jpg,14,215.0
wgd_2_15,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,2.jpg,15,215.0
wgd_2_16,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,2.jpg,16,215.0
wgd_2_17,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,2.jpg,17,215.0
wgd_2_18,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,2.jpg,18,215.0
wgd_2_19,180,0.65,"{""Answer"": ""180"", ""Confidence"": ""0.65""}",,2.jpg,19,215.0
wgd_2_20,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,2.jpg,20,215.0
wgd_3_01,180,0.3,"{""Answer"": ""180"", ""Confidence"": ""0.3""}",,3.jpg,1,218.0
wgd_3_02,170,0.7,"{""Answer"": ""170"", ""Confidence"": ""0.7""}",,3.jpg,2,218.0
wgd_3_03,180,0.5,"{""Answer"": ""180"", ""Confidence"": ""0.5""}",,3.jpg,3,218.0
wgd_3_04,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,3.jpg,4,218.0
wgd_3_05,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,3.jpg,5,218.0
wgd_3_06,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,3.jpg,6,218.0
wgd_3_07,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,3.jpg,7,218.0
wgd_3_08,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,3.jpg,8,218.0
wgd_3_09,170,0.6,"```json
{""Answer"": ""170"", ""Confidence"": ""0.6""}
```",,3.jpg,9,218.0
wgd_3_10,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,3.jpg,10,218.0
wgd_3_11,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,3.jpg,11,218.0
wgd_3_12,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,3.jpg,12,218.0
wgd_3_13,165,0.7,"{""Answer"": ""165"", ""Confidence"": ""0.7""}",,3.jpg,13,218.0
wgd_3_14,180,0.65,"{""Answer"": ""180"", ""Confidence"": ""0.65""}",,3.jpg,14,218.0
wgd_3_15,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,3.jpg,15,218.0
wgd_3_16,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,3.jpg,16,218.0
wgd_3_17,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,3.jpg,17,218.0
wgd_3_18,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,3.jpg,18,218.0
wgd_3_19,180,0.6,"{""Answer"": ""180"", ""Confidence"": ""0.6""}",,3.jpg,19,218.0
wgd_3_20,180,0.7,"{""Answer"": ""180"", ""Confidence"": ""0.7""}",,3.jpg,20,218.0
wgd_4_01,115,0.7,"{""Answer"": ""115"", ""Confidence"": ""0.7""}",,4.jpg,1,95.0
wgd_4_02,105,0.7,"{""Answer"": ""105"", ""Confidence"": ""0.7""}",,4.jpg,2,95.0
wgd_4_03,110,0.75,"{""Answer"": ""110"", ""Confidence"": ""0.75""}",,4.jpg,3,95.0
wgd_4_04,115,0.75,"{""Answer"": ""115"", ""Confidence"": ""0.75""}",,4.jpg,4,95.0
wgd_4_05,110,0.75,"{""Answer"": ""110"", ""Confidence"": ""0.75""}",,4.jpg,5,95.0
wgd_4_06,105,0.75,"{""Answer"": ""105"", ""Confidence"": ""0.75""}",,4.jpg,6,95.0
wgd_4_07,110,0.75,"{""Answer"": ""110"", ""Confidence"": ""0.75""}",,4.jpg,7,95.0
wgd_4_08,110,0.85,"{""Answer"": ""110"", ""Confidence"": ""0.85""}",,4.jpg,8,95.0
wgd_4_09,110,0.8,"{""Answer"": ""110"", ""Confidence"": ""0.8""}",,4.jpg,9,95.0
wgd_4_10,115,0.7,"{""Answer"": ""115"", ""Confidence"": ""0.7""}",,4.jpg,10,95.0
wgd_4_11,110,0.7,"{""Answer"": ""110"", ""Confidence"": ""0.7""}",,4.jpg,11,95.0
wgd_4_12,105,0.75,"{""Answer"": ""105"", ""Confidence"": ""0.75""}",,4.jpg,12,95.0
wgd_4_13,110,0.8,"{""Answer"": ""110"", ""Confidence"": ""0.8""}",,4.jpg,13,95.0
wgd_4_14,115,0.75,"```json
{""Answer"": ""115"", ""Confidence"": ""0.75""}
```",,4.jpg,14,95.0
wgd_4_15,105,0.85,"{""Answer"": ""105"", ""Confidence"": ""0.85""}",,4.jpg,15,95.0
wgd_4_16,115,0.7,"{""Answer"": ""115"", ""Confidence"": ""0.7""}",,4.jpg,16,95.0
wgd_4_17,110,0.75,"{""Answer"": ""110"", ""Confidence"": ""0.75""}",,4.jpg,17,95.0
wgd_4_18,110,0.75,"{""Answer"": ""110"", ""Confidence"": ""0.75""}",,4.jpg,18,95.0
wgd_4_19,110,0.75,"{""Answer"": ""110"", ""Confidence"": ""0.75""}",,4.jpg,19,95.0
wgd_4_20,115,0.85,"{""Answer"": ""115"", ""Confidence"": ""0.85""}",,4.jpg,20,95.0
wgd_5_01,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,5.jpg,1,142.0
wgd_5_02,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,5.jpg,2,142.0
wgd_5_03,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,5.jpg,3,142.0
wgd_5_04,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,5.jpg,4,142.0
wgd_5_05,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,5.jpg,5,142.0
wgd_5_06,165,0.7,"{""Answer"": ""165"", ""Confidence"": ""0.7""}",,5.jpg,6,142.0
wgd_5_07,165,0.6,"```json
{""Answer"": ""165"", ""Confidence"": ""0.6""}
```",,5.jpg,7,142.0
wgd_5_08,165,0.7,"{""Answer"": ""165"", ""Confidence"": ""0.7""}",,5.jpg,8,142.0
wgd_5_09,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,5.jpg,9,142.0
wgd_5_10,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,5.jpg,10,142.0
wgd_5_11,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,5.jpg,11,142.0
wgd_5_12,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,5.jpg,12,142.0
wgd_5_13,165,0.6,"```json
{""Answer"": ""165"", ""Confidence"": ""0.6""}
```",,5.jpg,13,142.0
wgd_5_14,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,5.jpg,14,142.0
wgd_5_15,165,0.4,"{""Answer"": ""165"", ""Confidence"": ""0.4""}",,5.jpg,15,142.0
wgd_5_16,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.60""}",,5.jpg,16,142.0
wgd_5_17,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,5.jpg,17,142.0
wgd_5_18,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,5.jpg,18,142.0
wgd_5_19,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,5.jpg,19,142.0
wgd_5_20,165,0.6,"```json
{""Answer"": ""165"", ""Confidence"": ""0.6""}
```",,5.jpg,20,142.0
wgd_6_01,140,0.3,"{""Answer"": ""140"", ""Confidence"": ""0.3""}",,6.jpg,1,150.0
wgd_6_02,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,6.jpg,2,150.0
wgd_6_03,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,6.jpg,3,150.0
wgd_6_04,160,0.15,"```json
{""Answer"": ""160"", ""Confidence"": ""0.15""}
```",,6.jpg,4,150.0
wgd_6_05,145,0.6,"{""Answer"": ""145"", ""Confidence"": ""0.6""}",,6.jpg,5,150.0
wgd_6_06,145,0.6,"{""Answer"": ""145"", ""Confidence"": ""0.6""}",,6.jpg,6,150.0
wgd_6_07,145,0.6,"{""Answer"": ""145"", ""Confidence"": ""0.6""}",,6.jpg,7,150.0
wgd_6_08,165,0.6,"{""Answer"": ""165"", ""Confidence"": ""0.6""}",,6.jpg,8,150.0
wgd_6_09,165,0.3,"{""Answer"": ""165"", ""Confidence"": ""0.3""}",,6.jpg,9,150.0
